#ProbabilisticShared,,,,,,,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value
von_koch-random-55-3,0,319,19369,9534,5,900105279912,3677.266343
von_koch-random-55-3,0,319,19369,9534,10,900109428843,9520.442536
von_koch-random-55-3,0,319,19369,9534,15,900110702790,18075.809792
von_koch-random-55-3,0,319,19369,9534,20,897778297438,28256.177932
von_koch-random-55-3,0,319,19369,9534,25,376025926545,38667.595117
von_koch-random-55-3,0,319,19369,9534,30,161753511928,49839.298741
von_koch-random-55-3,1,410,32281,15895,5,900192606190,3432.424686
von_koch-random-55-3,1,410,32281,15895,10,900185585080,10712.80952
von_koch-random-55-3,1,410,32281,15895,15,900396093839,18139.369952
von_koch-random-55-3,1,410,32281,15895,20,900210277960,31993.227521
von_koch-random-55-3,1,410,32281,15895,25,900197114542,45120.310273
von_koch-random-55-3,1,410,32281,15895,30,900187818990,58413.635925
von_koch-random-55-3,2,442,39131,19263,5,900265668933,1776.633777
von_koch-random-55-3,2,442,39131,19263,10,901210623498,7670.912714
von_koch-random-55-3,2,442,39131,19263,15,900243204084,11183.780445
von_koch-random-55-3,2,442,39131,19263,20,900264807062,13868.899619
von_koch-random-55-3,2,442,39131,19263,25,900256442319,27604.799566
von_koch-random-55-3,2,442,39131,19263,30,900252948921,58056.696774
von_koch-random-55-3,3,545,51876,25554,5,973490182111,1712.789706
von_koch-random-55-3,3,545,51876,25554,10,935088877703,6957.757961
von_koch-random-55-3,3,545,51876,25554,15,907836001269,3510.054189
von_koch-random-55-3,3,545,51876,25554,20,981171237116,5197.178363
von_koch-random-55-3,3,545,51876,25554,25,944858237227,5386.01485
von_koch-random-55-3,3,545,51876,25554,30,900372312348,48610.900816
von_koch-random-55-3,4,593,66436,32758,5,900626640781,1412.500938
von_koch-random-55-3,4,593,66436,32758,10,900503359325,2884.807164
von_koch-random-55-3,4,593,66436,32758,15,900501002938,4004.411693
von_koch-random-55-3,4,593,66436,32758,20,900795576337,5559.757409
von_koch-random-55-3,4,593,66436,32758,25,900469240055,37023.198368
von_koch-random-55-3,4,593,66436,32758,30,900434558924,58395.996809
von_koch-random-55-4,0,319,20591,10147,5,848084600001,11597.704456
von_koch-random-55-4,0,319,20591,10147,10,900110012591,29210.066589
von_koch-random-55-4,0,319,20591,10147,15,900107605978,49899.092535
von_koch-random-55-4,0,319,20591,10147,20,772762957854,75428.404683
von_koch-random-55-4,0,319,20591,10147,25,491872193191,100399.851705
von_koch-random-55-4,0,319,20591,10147,30,300019870113,126739.260278
von_koch-random-55-4,1,410,32097,15817,5,900183872494,10308.826392
von_koch-random-55-4,1,410,32097,15817,10,900202462384,34979.378596
von_koch-random-55-4,1,410,32097,15817,15,900191665833,63212.517172
von_koch-random-55-4,1,410,32097,15817,20,900187939203,98740.226594
von_koch-random-55-4,1,410,32097,15817,25,501075906392,137284.999219
von_koch-random-55-4,1,410,32097,15817,30,248385648269,174444.738286
von_koch-random-55-4,2,442,37767,18632,5,900228776138,8334.527217
von_koch-random-55-4,2,442,37767,18632,10,900255239131,29292.157911
von_koch-random-55-4,2,442,37767,18632,15,900247806218,44959.891523
von_koch-random-55-4,2,442,37767,18632,20,900235686258,92922.584523
von_koch-random-55-4,2,442,37767,18632,25,900235167366,125746.99217
von_koch-random-55-4,2,442,37767,18632,30,900228246192,157555.621861
von_koch-random-55-4,3,545,55815,27558,5,900517462871,5942.110958
von_koch-random-55-4,3,545,55815,27558,10,995248604577,13492.526053
von_koch-random-55-4,3,545,55815,27558,15,900442208109,30858.640698
von_koch-random-55-4,3,545,55815,27558,20,900403626511,21884.668249
von_koch-random-55-4,3,545,55815,27558,25,1015826167670,17169.55398
von_koch-random-55-4,3,545,55815,27558,30,900371366992,210229.353938
von_koch-random-55-4,4,593,65267,32201,5,900545060535,4928.972403
von_koch-random-55-4,4,593,65267,32201,10,901361814063,9910.53413
von_koch-random-55-4,4,593,65267,32201,15,900606242496,14580.281291
von_koch-random-55-4,4,593,65267,32201,20,900438210181,36685.106095
von_koch-random-55-4,4,593,65267,32201,25,900501889290,16121.453673
von_koch-random-55-4,4,593,65267,32201,30,900432589411,148548.358103
random-x-monotone-55-1337,0,304,18392,9099,5,900156447704,11279.367511
random-x-monotone-55-1337,0,304,18392,9099,10,900095894196,31300.263002
random-x-monotone-55-1337,0,304,18392,9099,15,900109767193,54912.434153
random-x-monotone-55-1337,0,304,18392,9099,20,900100844762,82724.320439
random-x-monotone-55-1337,0,304,18392,9099,25,582802372980,113175.507889
random-x-monotone-55-1337,0,304,18392,9099,30,343187330669,145272.192454
random-x-monotone-55-1337,1,395,35393,17554,5,900234046079,11449.345056
random-x-monotone-55-1337,1,395,35393,17554,10,900316097220,28743.213478
random-x-monotone-55-1337,1,395,35393,17554,15,900214143738,60395.963091
random-x-monotone-55-1337,1,395,35393,17554,20,900216308220,101335.895365
random-x-monotone-55-1337,1,395,35393,17554,25,900212440198,135444.101205
random-x-monotone-55-1337,1,395,35393,17554,30,900227199656,188138.334856
random-x-monotone-55-1337,2,427,36433,18058,5,900223292512,10411.776194
random-x-monotone-55-1337,2,427,36433,18058,10,900233213097,28180.668841
random-x-monotone-55-1337,2,427,36433,18058,15,900244971867,50373.243941
random-x-monotone-55-1337,2,427,36433,18058,20,900252245354,82777.569575
random-x-monotone-55-1337,2,427,36433,18058,25,900223251727,123382.334995
random-x-monotone-55-1337,2,427,36433,18058,30,900220720932,172955.867914
random-x-monotone-55-1337,3,527,62373,30978,5,900386343423,2909.607688
random-x-monotone-55-1337,3,527,62373,30978,10,900538692313,7225.098978
random-x-monotone-55-1337,3,527,62373,30978,15,900523574268,11901.266636
random-x-monotone-55-1337,3,527,62373,30978,20,900521330121,14824.165035
random-x-monotone-55-1337,3,527,62373,30978,25,900393781125,81989.597079
random-x-monotone-55-1337,3,527,62373,30978,30,900408860933,145977.779349
random-x-monotone-55-1337,4,576,69626,34580,5,900530559554,5351.632944
random-x-monotone-55-1337,4,576,69626,34580,10,900521058303,17907.193815
random-x-monotone-55-1337,4,576,69626,34580,15,900524744375,32520.122566
random-x-monotone-55-1337,4,576,69626,34580,20,900625608907,40302.213697
random-x-monotone-55-1337,4,576,69626,34580,25,900500616443,53745.137059
random-x-monotone-55-1337,4,576,69626,34580,30,900432075713,195691.253044
von_koch-random-55-5,0,319,20026,9891,5,900115428417,122955.420751
von_koch-random-55-5,0,319,20026,9891,10,900110080927,342464.054021
von_koch-random-55-5,0,319,20026,9891,15,900121075590,621346.154607
von_koch-random-55-5,0,319,20026,9891,20,900112016477,922509.620837
von_koch-random-55-5,0,319,20026,9891,25,900112718418,1296364.425392
von_koch-random-55-5,0,319,20026,9891,30,564255069650,1637768.428074
von_koch-random-55-5,1,410,32503,16066,5,900208735592,125407.971056
von_koch-random-55-5,1,410,32503,16066,10,900389911917,346972.624893
von_koch-random-55-5,1,410,32503,16066,15,900192522536,678324.431457
von_koch-random-55-5,1,410,32503,16066,20,900212188033,1012570.704826
von_koch-random-55-5,1,410,32503,16066,25,900198932811,1400947.452362
von_koch-random-55-5,1,410,32503,16066,30,900203682963,1918265.160451
von_koch-random-55-5,2,442,41274,20415,5,900311524586,53283.530195
von_koch-random-55-5,2,442,41274,20415,10,900274939735,209371.886227
von_koch-random-55-5,2,442,41274,20415,15,900298231364,368664.557588
von_koch-random-55-5,2,442,41274,20415,20,901301577580,363644.874751
von_koch-random-55-5,2,442,41274,20415,25,900272200988,1100386.079226
von_koch-random-55-5,2,442,41274,20415,30,900256899415,1746266.855943
von_koch-random-55-5,3,545,62149,30774,5,900395187559,36920.804245
von_koch-random-55-5,3,545,62149,30774,10,900564750307,96679.18119
von_koch-random-55-5,3,545,62149,30774,15,900477973595,164850.518077
von_koch-random-55-5,3,545,62149,30774,20,900503897054,481122.064833
von_koch-random-55-5,3,545,62149,30774,25,900402056824,1436526.062502
von_koch-random-55-5,3,545,62149,30774,30,900394925573,1993430.305403
von_koch-random-55-5,4,593,74323,36810,5,900513883225,47819.85604
von_koch-random-55-5,4,593,74323,36810,10,900716798184,136076.411205
