#RandomAll,,,,,,,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value
von_koch-random-55-3,0,280,15398,7574,5,343038588784,4055.856786
von_koch-random-55-3,0,280,15398,7574,10,692962273354,9908.054285
von_koch-random-55-3,0,280,15398,7574,15,900090535237,17028.724348
von_koch-random-55-3,0,280,15398,7574,20,511372867598,25168.36772
von_koch-random-55-3,0,280,15398,7574,25,292599791622,34413.623801
von_koch-random-55-3,0,280,15398,7574,30,152431784731,44348.977211
von_koch-random-55-3,1,348,22324,10982,5,900132163711,3558.065126
von_koch-random-55-3,1,348,22324,10982,10,900285052191,9744.111781
von_koch-random-55-3,1,348,22324,10982,15,900162614795,17453.054899
von_koch-random-55-3,1,348,22324,10982,20,900143646902,26079.5624
von_koch-random-55-3,1,348,22324,10982,25,900138599653,38551.810934
von_koch-random-55-3,1,348,22324,10982,30,900129496580,49768.245331
von_koch-random-55-3,2,415,31130,15315,5,900658560074,3356.756958
von_koch-random-55-3,2,415,31130,15315,10,900216348446,9714.858883
von_koch-random-55-3,2,415,31130,15315,15,900195441677,17164.139149
von_koch-random-55-3,2,415,31130,15315,20,900202402955,28439.031401
von_koch-random-55-3,2,415,31130,15315,25,900210533911,42526.761689
von_koch-random-55-3,2,415,31130,15315,30,900190756524,54151.892617
von_koch-random-55-3,3,465,40066,19716,5,900268084080,2502.290019
von_koch-random-55-3,3,465,40066,19716,10,900244690989,4835.385117
von_koch-random-55-3,3,465,40066,19716,15,900251681075,10681.064426
von_koch-random-55-3,3,465,40066,19716,20,900267149544,11703.189823
von_koch-random-55-3,3,465,40066,19716,25,900277586119,43516.628545
von_koch-random-55-3,3,465,40066,19716,30,900242439131,59686.053799
von_koch-random-55-3,4,516,49490,24362,5,900385581147,2828.191807
von_koch-random-55-3,4,516,49490,24362,10,959592616470,3068.250467
von_koch-random-55-3,4,516,49490,24362,15,900360157291,7451.960108
von_koch-random-55-3,4,516,49490,24362,20,927525484668,5672.763171
von_koch-random-55-3,4,516,49490,24362,25,990487912046,7928.308203
von_koch-random-55-3,4,516,49490,24362,30,960524894830,9522.553557
von_koch-random-55-4,0,280,15934,7850,5,402374894905,11532.327905
