#RandomShared,,,,,,,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value
von_koch-random-55-3,0,282,15421,7586,5,537989481009,3663.920333
von_koch-random-55-3,0,282,15421,7586,10,393115687164,10163.240883
von_koch-random-55-3,0,282,15421,7586,15,278062613771,17860.262333
von_koch-random-55-3,0,282,15421,7586,20,165801665993,25898.517356
von_koch-random-55-3,0,282,15421,7586,25,178562943342,33862.838469
von_koch-random-55-3,0,282,15421,7586,30,118138757802,42475.199238
von_koch-random-55-3,1,339,20345,10008,5,900127105767,3751.835529
von_koch-random-55-3,1,339,20345,10008,10,900123617590,10796.170666
von_koch-random-55-3,1,339,20345,10008,15,900125681623,18399.507351
von_koch-random-55-3,1,339,20345,10008,20,889802315598,28478.782319
von_koch-random-55-3,1,339,20345,10008,25,495439258649,38600.785928
von_koch-random-55-3,1,339,20345,10008,30,168284122030,50233.817352
von_koch-random-55-3,2,403,30088,14810,5,900177399388,3569.948506
von_koch-random-55-3,2,403,30088,14810,10,900198525508,9940.190925
von_koch-random-55-3,2,403,30088,14810,15,900202024658,19894.064588
von_koch-random-55-3,2,403,30088,14810,20,900194410823,30463.896741
von_koch-random-55-3,2,403,30088,14810,25,900195184648,43705.164613
von_koch-random-55-3,2,403,30088,14810,30,900270788339,56229.3614
von_koch-random-55-3,3,454,44266,21822,5,900397847351,2650.488163
von_koch-random-55-3,3,454,44266,21822,10,932241125421,2651.866361
von_koch-random-55-3,3,454,44266,21822,15,900292613603,2948.166074
von_koch-random-55-3,3,454,44266,21822,20,900323647152,16539.920544
von_koch-random-55-3,3,454,44266,21822,25,900335583671,33613.941729
von_koch-random-55-3,3,454,44266,21822,30,900299767047,64945.839407
von_koch-random-55-3,4,508,44880,22154,5,900294365923,1790.046028
von_koch-random-55-3,4,508,44880,22154,10,910195496538,1663.103528
von_koch-random-55-3,4,508,44880,22154,15,900311280842,10537.079471
von_koch-random-55-3,4,508,44880,22154,20,900340501592,15589.561322
von_koch-random-55-3,4,508,44880,22154,25,900327656751,9383.806321
von_koch-random-55-3,4,508,44880,22154,30,900310927193,63308.70597
von_koch-random-55-4,0,282,16220,7998,5,314863656582,11357.003323
von_koch-random-55-4,0,282,16220,7998,10,221973328396,29081.823647
von_koch-random-55-4,0,282,16220,7998,15,230107430829,48446.771384
von_koch-random-55-4,0,282,16220,7998,20,144343770740,71709.060486
von_koch-random-55-4,0,282,16220,7998,25,120961183548,94021.399681
von_koch-random-55-4,0,282,16220,7998,30,77589356770,119269.502174
von_koch-random-55-4,1,339,22470,11076,5,862545278404,12259.559201
von_koch-random-55-4,1,339,22470,11076,10,515927917043,33917.098676
von_koch-random-55-4,1,339,22470,11076,15,453162460126,58524.747799
von_koch-random-55-4,1,339,22470,11076,20,236127887933,86361.547496
von_koch-random-55-4,1,339,22470,11076,25,137516596310,116228.054868
von_koch-random-55-4,1,339,22470,11076,30,57534899720,148899.864572
von_koch-random-55-4,2,403,31125,15334,5,900193133033,11848.430416
von_koch-random-55-4,2,403,31125,15334,10,900549465798,33850.465881
von_koch-random-55-4,2,403,31125,15334,15,900209393224,62706.924358
von_koch-random-55-4,2,403,31125,15334,20,900196518626,94728.414016
von_koch-random-55-4,2,403,31125,15334,25,900211147303,128934.361824
von_koch-random-55-4,2,403,31125,15334,30,404737326326,167578.391615
von_koch-random-55-4,3,454,42496,20948,5,900361241261,9721.402124
von_koch-random-55-4,3,454,42496,20948,10,900270268381,27423.377814
von_koch-random-55-4,3,454,42496,20948,15,900282205023,61370.232121
von_koch-random-55-4,3,454,42496,20948,20,900252942219,98534.40845
von_koch-random-55-4,3,454,42496,20948,25,900266435514,138125.982896
von_koch-random-55-4,3,454,42496,20948,30,900254584506,180174.383765
von_koch-random-55-4,4,508,46653,22990,5,900352300509,6649.224724
von_koch-random-55-4,4,508,46653,22990,10,900470662099,5312.199808
von_koch-random-55-4,4,508,46653,22990,15,900317681549,28700.971247
von_koch-random-55-4,4,508,46653,22990,20,900298552396,107013.840166
von_koch-random-55-4,4,508,46653,22990,25,900331584986,157232.276512
von_koch-random-55-4,4,508,46653,22990,30,900293710327,202384.932137
random-x-monotone-55-1337,0,266,16186,8015,5,321608560457,12033.381776
random-x-monotone-55-1337,0,266,16186,8015,10,490442085909,30885.94304
random-x-monotone-55-1337,0,266,16186,8015,15,532425115641,53354.583066
random-x-monotone-55-1337,0,266,16186,8015,20,360733397691,79620.103069
random-x-monotone-55-1337,0,266,16186,8015,25,244786492274,106477.80123
