#solverEvo	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	25	733613815244	72842.537549	
random-2-opt-60-1337	1	209	8801	4356	25	677359885868	78652.695942	
random-2-opt-60-1337	2	246	12082	5978	25	609916726686	87956.138763	
von_koch-random-55-3	0	163	5373	2645	25	569869597197	26124.162163	
von_koch-random-55-3	1	179	6153	3026	25	812507730709	29138.578792	
von_koch-random-55-3	2	213	8481	4170	25	500072824451	32786.584555	
von_koch-random-55-4	0	163	5982	2948	25	529932772170	74220.162022	
von_koch-random-55-4	1	179	6789	3342	25	753151141199	83894.803415	
von_koch-random-55-4	2	213	9115	4480	25	799455827218	88745.137425	
von_koch-random-60-2	0	193	8426	4153	25	920981598032	10217.428467	
von_koch-random-60-2	1	209	9717	4787	25	723032058989	10241.034028	
von_koch-random-60-2	2	246	13518	6665	25	801390831340	11399.539821	
von_koch-random-60-5	0	193	7031	3462	25	812760858889	960897.709097	
von_koch-random-60-5	1	209	8390	4132	25	776473591303	996127.432883	
von_koch-random-60-5	2	246	11869	5850	25	690035883870	1121656.658352	
random-x-monotone-55-1337	0	158	5948	2950	25	916558373041	75483.582754	
random-x-monotone-55-1337	1	172	6820	3379	25	792833418439	77877.771202	
random-x-monotone-55-1337	2	205	9073	4489	25	740237995091	81554.697891	
von_koch-random-60-4	0	193	7654	3764	25	493984032637	70561.294895	
von_koch-random-60-4	1	209	8986	4418	25	558059329497	69311.776613	
von_koch-random-60-4	2	246	11435	5621	25	728256236432	88973.705100	
von_koch-random-60-3	0	193	6361	3129	25	611403143528	26319.817962	
von_koch-random-60-3	1	209	7494	3685	25	834098110150	29077.531870	
von_koch-random-60-3	2	246	10551	5190	25	921615477595	32944.249990	
von_koch-random-55-5	0	163	5896	2908	25	670094657621	918511.997208	
von_koch-random-55-5	1	179	7008	3453	25	594227559278	1076665.788252	
von_koch-random-55-5	2	213	9808	4831	25	843208102829	1209577.854987	
von_koch-random-55-2	0	163	6496	3209	25	693472760709	9438.959111	
von_koch-random-55-2	1	179	7554	3729	25	636765172307	9961.263046	
von_koch-random-55-2	2	213	10329	5093	25	747686428071	11406.829383	
random-orthogonal-60-1337	0	193	8696	4295	25	898395574230	1196.853346	
random-orthogonal-60-1337	1	209	9636	4756	25	780913862705	1212.714981	
random-orthogonal-60-1337	2	246	13626	6727	25	661036618029	1437.821538	
random-2-opt-55-1337	0	158	5620	2786	25	629143605620	67271.975345	
random-2-opt-55-1337	1	172	6584	3261	25	916148618480	73676.035670	
random-2-opt-55-1337	2	205	9307	4606	25	659922694636	83991.265772	
random-x-monotone-60-1337	0	193	7051	3489	25	831886593097	80387.830273	
random-x-monotone-60-1337	1	209	8379	4145	25	835282623527	81682.145141	
random-x-monotone-60-1337	2	246	12152	6013	25	569634349629	95968.920554	
random-x-monotone-55-42	0	158	5718	2835	25	809668211546	71583.443678	
random-x-monotone-55-42	1	172	6642	3290	25	591658824051	74753.007707	
random-x-monotone-55-42	2	205	9477	4691	25	741358289609	87854.417174	
random-2-opt-60-42	0	193	7935	3931	25	895011285853	77220.757149	
random-2-opt-60-42	1	209	9307	4609	25	479751854700	80713.507521	
random-2-opt-60-42	2	246	12974	6424	25	655835333639	92780.291489	
random-orthogonal-60-42	0	193	6812	3359	25	914802965249	1166.543302	
random-orthogonal-60-42	1	209	7800	3844	25	917427560191	1201.651375	
random-orthogonal-60-42	2	246	10928	5386	25	366737227165	1326.678397	
random-2-opt-55-42	0	158	5918	2935	25	770405457588	68939.103816	
random-2-opt-55-42	1	172	6678	3308	25	852495591901	70667.535301	
random-2-opt-55-42	2	205	9597	4751	25	403972490794	84632.627018	
random-x-monotone-60-42	0	193	8447	4187	25	920714199216	83976.081916	
random-x-monotone-60-42	1	209	10125	5018	25	804739327787	87338.968496	
random-x-monotone-60-42	2	246	13548	6711	25	658229944133	99386.151084	
