#solverGreedy	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	25	600705804	47940.883036	
random-2-opt-60-1337	1	209	8801	4356	25	889323688	57639.600401	
random-2-opt-60-1337	2	246	12082	5978	25	1749465454	79255.574088	
von_koch-random-55-3	0	163	5373	2645	25	417656738	18231.014382	
von_koch-random-55-3	1	179	6153	3026	25	520281793	20218.051322	
von_koch-random-55-3	2	213	8481	4170	25	702109919	17201.262211	
von_koch-random-55-4	0	163	5982	2948	25	592206526	64237.937696	
von_koch-random-55-4	1	179	6789	3342	25	717547234	78360.897187	
von_koch-random-55-4	2	213	9115	4480	25	1032199350	77870.850619	
von_koch-random-60-2	0	193	8426	4153	25	848727029	6370.176968	
von_koch-random-60-2	1	209	9717	4787	25	1002351122	6515.869338	
von_koch-random-60-2	2	246	13518	6665	25	2207638727	9486.309458	
von_koch-random-60-5	0	193	7031	3462	25	524586482	599358.320725	
von_koch-random-60-5	1	209	8390	4132	25	966520389	891128.558159	
von_koch-random-60-5	2	246	11869	5850	25	1720866513	1058892.468765	
random-x-monotone-55-1337	0	158	5948	2950	25	571665305	62033.193849	
random-x-monotone-55-1337	1	172	6820	3379	25	676718144	60221.467992	
random-x-monotone-55-1337	2	205	9073	4489	25	994538402	59308.013700	
von_koch-random-60-4	0	193	7654	3764	25	706058587	61990.628126	
von_koch-random-60-4	1	209	8986	4418	25	870231142	61990.628126	
von_koch-random-60-4	2	246	11435	5621	25	1313686972	66587.340367	
von_koch-random-60-3	0	193	6361	3129	25	572615960	20262.805407	
von_koch-random-60-3	1	209	7494	3685	25	686854851	20358.740610	
von_koch-random-60-3	2	246	10551	5190	25	1061105982	21356.671010	
von_koch-random-55-5	0	163	5896	2908	25	621388905	652776.838579	
von_koch-random-55-5	1	179	7008	3453	25	803939842	787648.032263	
von_koch-random-55-5	2	213	9808	4831	25	1378438157	991218.283817	
von_koch-random-55-2	0	163	6496	3209	25	825814786	8748.522080	
von_koch-random-55-2	1	179	7554	3729	25	1055359058	9433.101286	
von_koch-random-55-2	2	213	10329	5093	25	1636033622	10560.628748	
random-orthogonal-60-1337	0	193	8696	4295	25	940796719	786.892718	
random-orthogonal-60-1337	1	209	9636	4756	25	1332449112	1055.799872	
random-orthogonal-60-1337	2	246	13626	6727	25	2372901022	1347.942244	
random-2-opt-55-1337	0	158	5620	2786	25	471161468	54525.086760	
random-2-opt-55-1337	1	172	6584	3261	25	619123128	61410.161650	
random-2-opt-55-1337	2	205	9307	4606	25	1059879909	71469.949359	
random-x-monotone-60-1337	0	193	7051	3489	25	759698701	72639.286175	
random-x-monotone-60-1337	1	209	8379	4145	25	991201221	75046.516890	
random-x-monotone-60-1337	2	246	12152	6013	25	1339584325	65986.683246	
random-x-monotone-55-42	0	158	5718	2835	25	393545639	42893.261709	
random-x-monotone-55-42	1	172	6642	3290	25	576658436	54111.949704	
random-x-monotone-55-42	2	205	9477	4691	25	1091600215	68199.426431	
random-2-opt-60-42	0	193	7935	3931	25	701380585	51091.322352	
random-2-opt-60-42	1	209	9307	4609	25	828930980	48920.394912	
random-2-opt-60-42	2	246	12974	6424	25	1828441665	71807.493050	
random-orthogonal-60-42	0	193	6812	3359	25	590360996	890.046839	
random-orthogonal-60-42	1	209	7800	3844	25	658071655	774.138624	
random-orthogonal-60-42	2	246	10928	5386	25	1248415937	1015.889042	
random-2-opt-55-42	0	158	5918	2935	25	586153768	56549.301173	
random-2-opt-55-42	1	172	6678	3308	25	647599840	51770.170480	
random-2-opt-55-42	2	205	9597	4751	25	1308588521	64358.033488	
random-x-monotone-60-42	0	193	8447	4187	25	1042139912	72408.182594	
random-x-monotone-60-42	1	209	10125	5018	25	1386949957	73573.328541	
random-x-monotone-60-42	2	246	13548	6711	25	2149997908	88137.607318	
