#solverIP	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	25	14604343606	75795.850147	
random-2-opt-60-1337	1	209	8801	4356	25	10662912051	81199.735032	
random-2-opt-60-1337	2	246	12082	5978	25	127972141144	89244.213797	
von_koch-random-55-3	0	163	5373	2645	25	5225652623	23979.971468	
von_koch-random-55-3	1	179	6153	3026	25	5790460981	26107.792612	
von_koch-random-55-3	2	213	8481	4170	25	7857264791	30313.987601	
von_koch-random-55-4	0	163	5982	2948	25	3273007368	77339.823015	
von_koch-random-55-4	1	179	6789	3342	25	4109539261	82804.275817	
von_koch-random-55-4	2	213	9115	4480	25	17874923026	87357.118540	
von_koch-random-60-2	0	193	8426	4153	25	20491484796	9618.721278	
von_koch-random-60-2	1	209	9717	4787	25	39412246545	9854.185758	
von_koch-random-60-2	2	246	13518	6665	25	85783252006	11054.681797	
von_koch-random-60-5	0	193	7031	3462	25	7049939577	921215.173794	
von_koch-random-60-5	1	209	8390	4132	25	8874238625	983094.771556	
von_koch-random-60-5	2	246	11869	5850	25	52498322744	1088708.219295	
random-x-monotone-55-1337	0	158	5948	2950	25	8077211890	75483.582754	
random-x-monotone-55-1337	1	172	6820	3379	25	8007638779	78220.316650	
random-x-monotone-55-1337	2	205	9073	4489	25	49415599808	83419.473308	
von_koch-random-60-4	0	193	7654	3764	25	3548007703	78605.628144	
von_koch-random-60-4	1	209	8986	4418	25	8087482909	80442.193063	
von_koch-random-60-4	2	246	11435	5621	25	15181606762	86811.734200	
von_koch-random-60-3	0	193	6361	3129	25	9251572079	24468.009075	
von_koch-random-60-3	1	209	7494	3685	25	7871699749	26141.484986	
von_koch-random-60-3	2	246	10551	5190	25	18441773206	30251.313063	
von_koch-random-55-5	0	163	5896	2908	25	4482072537	918940.019617	
von_koch-random-55-5	1	179	7008	3453	25	4536859489	1006687.001961	
von_koch-random-55-5	2	213	9808	4831	25	10726067830	1148472.109813	
von_koch-random-55-2	0	163	6496	3209	25	4388041627	9290.176071	
von_koch-random-55-2	1	179	7554	3729	25	7829918836	9872.296109	
von_koch-random-55-2	2	213	10329	5093	25	24717454022	11035.738605	
random-orthogonal-60-1337	0	193	8696	4295	25	40384531089	1183.836570	
random-orthogonal-60-1337	1	209	9636	4756	25	49077524427	1213.660006	
random-orthogonal-60-1337	2	246	13626	6727	25	122013881887	1421.480761	
random-2-opt-55-1337	0	158	5620	2786	25	4500795645	72750.211775	
random-2-opt-55-1337	1	172	6584	3261	25	6729410237	76361.355540	
random-2-opt-55-1337	2	205	9307	4606	25	28297322597	88145.142473	
random-x-monotone-60-1337	0	193	7051	3489	25	6347066271	81777.794253	
random-x-monotone-60-1337	1	209	8379	4145	25	17334700875	83515.781685	
random-x-monotone-60-1337	2	246	12152	6013	25	39324173877	95968.920554	
random-x-monotone-55-42	0	158	5718	2835	25	8929512297	73994.806218	
random-x-monotone-55-42	1	172	6642	3290	25	6258100104	78315.962378	
random-x-monotone-55-42	2	205	9477	4691	25	30669214202	88887.543737	
random-2-opt-60-42	0	193	7935	3931	25	14563169426	78434.128486	
random-2-opt-60-42	1	209	9307	4609	25	14149632225	84630.505828	
random-2-opt-60-42	2	246	12974	6424	25	64802575890	94717.509674	
random-orthogonal-60-42	0	193	6812	3359	25	13589033044	1171.671593	
random-orthogonal-60-42	1	209	7800	3844	25	22551191939	1201.651375	
random-orthogonal-60-42	2	246	10928	5386	25	63621959240	1371.451177	
random-2-opt-55-42	0	158	5918	2935	25	4504584447	71266.420179	
random-2-opt-55-42	1	172	6678	3308	25	12533148988	71923.563418	
random-2-opt-55-42	2	205	9597	4751	25	31074411959	86226.665050	
random-x-monotone-60-42	0	193	8447	4187	25	16498985365	84247.143829	
random-x-monotone-60-42	1	209	10125	5018	25	12103477942	89366.227584	
random-x-monotone-60-42	2	246	13548	6711	25	28500163279	99386.151084	
