#solverSA	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	25	256366536677	76085.017886	
random-2-opt-60-1337	1	209	8801	4356	25	344196333971	80530.331261	
random-2-opt-60-1337	2	246	12082	5978	25	402553720276	88510.288049	
von_koch-random-55-3	0	163	5373	2645	25	196257759754	26550.723499	
von_koch-random-55-3	1	179	6153	3026	25	277620162553	29092.828088	
von_koch-random-55-3	2	213	8481	4170	25	423915302571	33311.453975	
von_koch-random-55-4	0	163	5982	2948	25	231637178999	80186.503749	
von_koch-random-55-4	1	179	6789	3342	25	257951851064	86304.276810	
von_koch-random-55-4	2	213	9115	4480	25	337871409139	89471.134793	
von_koch-random-60-2	0	193	8426	4153	25	284829565104	10217.428467	
von_koch-random-60-2	1	209	9717	4787	25	317274953459	10444.337538	
von_koch-random-60-2	2	246	13518	6665	25	530177727125	11570.181085	
von_koch-random-60-5	0	193	7031	3462	25	229756938158	980138.020675	
von_koch-random-60-5	1	209	8390	4132	25	302969630564	1032110.322777	
von_koch-random-60-5	2	246	11869	5850	25	365001939022	1145728.477728	
random-x-monotone-55-1337	0	158	5948	2950	25	148877296288	74732.271346	
random-x-monotone-55-1337	1	172	6820	3379	25	228550610870	77719.749782	
random-x-monotone-55-1337	2	205	9073	4489	25	282045082541	82694.942391	
von_koch-random-60-4	0	193	7654	3764	25	250324957660	78932.423826	
von_koch-random-60-4	1	209	8986	4418	25	291264649841	79730.348488	
von_koch-random-60-4	2	246	11435	5621	25	388814025413	88677.455139	
von_koch-random-60-3	0	193	6361	3129	25	221017139551	27173.434852	
von_koch-random-60-3	1	209	7494	3685	25	278861979330	29506.484986	
von_koch-random-60-3	2	246	10551	5190	25	400376558184	33273.602174	
von_koch-random-55-5	0	163	5896	2908	25	220004279340	974706.721614	
von_koch-random-55-5	1	179	7008	3453	25	293925364437	1075293.128372	
von_koch-random-55-5	2	213	9808	4831	25	401519575693	1196208.417625	
von_koch-random-55-2	0	163	6496	3209	25	186111512569	9578.636186	
von_koch-random-55-2	1	179	7554	3729	25	301033270950	10266.430096	
von_koch-random-55-2	2	213	10329	5093	25	367538073022	11384.704610	
random-orthogonal-60-1337	0	193	8696	4295	25	328358592903	1192.725490	
random-orthogonal-60-1337	1	209	9636	4756	25	417316085731	1203.659581	
random-orthogonal-60-1337	2	246	13626	6727	25	505144637457	1453.562072	
random-2-opt-55-1337	0	158	5620	2786	25	161243914998	72045.325367	
random-2-opt-55-1337	1	172	6584	3261	25	228887346175	75830.367859	
random-2-opt-55-1337	2	205	9307	4606	25	285666355769	88145.142473	
random-x-monotone-60-1337	0	193	7051	3489	25	291557745620	81651.795578	
random-x-monotone-60-1337	1	209	8379	4145	25	349873866024	83136.797833	
random-x-monotone-60-1337	2	246	12152	6013	25	355220740931	94415.803626	
random-x-monotone-55-42	0	158	5718	2835	25	139338058883	73566.765853	
random-x-monotone-55-42	1	172	6642	3290	25	230552776238	77886.139136	
random-x-monotone-55-42	2	205	9477	4691	25	297356560875	87961.127537	
random-2-opt-60-42	0	193	7935	3931	25	306975982753	78363.311691	
random-2-opt-60-42	1	209	9307	4609	25	302644622379	84457.214659	
random-2-opt-60-42	2	246	12974	6424	25	560884105218	92301.790286	
random-orthogonal-60-42	0	193	6812	3359	25	314376306025	1171.671593	
random-orthogonal-60-42	1	209	7800	3844	25	208940350181	1189.104381	
random-orthogonal-60-42	2	246	10928	5386	25	385873221432	1369.979432	
random-2-opt-55-42	0	158	5918	2935	25	175009185787	71266.420179	
random-2-opt-55-42	1	172	6678	3308	25	219721154047	71811.217144	
random-2-opt-55-42	2	205	9597	4751	25	291141492345	85759.713695	
random-x-monotone-60-42	0	193	8447	4187	25	225383665743	83458.103233	
random-x-monotone-60-42	1	209	10125	5018	25	306236825893	88974.330468	
random-x-monotone-60-42	2	246	13548	6711	25	428351858501	98537.410914	
