vertices,val,time,IP,Greedy,Iterated,SA,Evo
2645,25235.16725,27614.55515,25235.16725,18231.014382,26353.990358,26550.723499,26683.971468
3026,28253.061149,29740.655343,28253.061149,20218.051322,29003.545357,29092.828088,29138.578792
4170,33470.723818,33645.830667,33470.723818,17201.262211,33545.987601,33311.453975,32786.584555
2948,81015.727807,81015.727807,81015.727807,64237.937696,75652.544762,80186.503749,76826.744179
3342,81715.486177,88192.958688,81715.486177,78360.897187,83599.152108,86304.27681,83894.803415
4480,88505.018165,96210.070467,88505.018165,77870.850619,89605.467888,89471.134793,88598.967883
2950,75483.582754,75490.87801,75483.582754,62033.193849,73401.689129,74732.271346,70199.740839
3379,78060.746161,81372.374495,78060.746161,60221.467992,76221.445334,77719.749782,77877.771202
4489,73204.649397,89023.056683,73204.649397,59308.0137,80649.596522,82694.942391,83419.473308
2908,974706.721614,1001582.544233,974706.721614,652776.838579,969252.448894,974706.721614,891525.149392
3453,1080147.508365,1080147.508365,1080147.508365,787648.032263,1076665.788252,1075293.128372,1076665.788252
4831,1196191.126483,1231607.079854,1196191.126483,991218.283817,1193141.195711,1196208.417625,1209577.854987
3209,9324.071835,9964.257031,9324.071835,8748.52208,9551.954163,9578.636186,9398.398072
3729,10242.087634,10470.859587,10242.087634,9433.101286,10325.553418,10266.430096,9961.263046
5093,11467.330748,11468.148382,11467.330748,10560.628748,11467.330748,11384.70461,11406.829383
3681,75072.99863,81022.600622,75072.99863,47940.883036,73330.758137,75588.857802,71856.043248
4356,78884.77374,85847.289833,78884.77374,57639.600401,81199.735032,81096.377295,80120.433482
5978,83007.587962,94555.926477,83007.587962,79255.574088,86620.29462,88510.288049,87956.138763
4153,9635.186223,10736.557318,9635.186223,6370.176968,10217.428467,10217.428467,10038.970541
4787,9516.573963,11287.696055,9516.573963,6515.869338,10549.975086,10444.337538,10247.075988
6665,10078.691127,12380.109537,10078.691127,9486.309458,11243.646005,11570.181085,11399.539821
3462,946178.892571,1041092.862076,946178.892571,599358.320725,939054.055313,980138.020675,950645.343476
4132,924219.18754,1106156.126325,924219.18754,891128.558159,1004365.603334,1032110.322777,952465.325195
5850,1004447.450253,1250964.326357,1004447.450253,1058892.468765,1110017.248987,1134524.412155,1121656.658352
5551,74811.705555,87839.619579,74811.705555,69136.035412,76656.960918,77742.620119,79310.996606
6595,82581.108323,93012.378644,82581.108323,58776.944051,83679.802287,85008.035604,80433.948391
9125,95568.61579,108104.178822,95568.61579,87259.042379,98750.192383,95340.23412,97346.705701
5727,85371.228738,92414.886814,85371.228738,83707.962479,88103.221031,86820.006097,88103.221031
6805,81220.707045,96976.927336,81220.707045,80159.051881,91826.646321,91240.952549,90440.017121
9441,97593.32336,111696.901804,97593.32336,92132.227377,98122.915524,99455.924404,97628.659466
1828,66958.211141,66963.453477,66958.211141,46533.973554,65103.215023,66958.211141,66110.165938
2126,70033.097487,70039.511924,70033.097487,42146.899548,67965.750697,69672.351509,70033.097487
2983,78766.728707,81521.873168,78766.728707,58325.0906,76566.243396,78766.728707,78267.510638
2405,27910.692427,27913.46072,27910.692427,22670.929765,27910.692427,27910.692427,25336.184569
2820,28950.514302,30060.382999,28950.514302,26137.406737,27921.96615,29092.205378,28202.719594
3664,31842.843359,33531.058319,31842.843359,25587.713965,30847.317089,32162.686264,32103.79368
1946,20429.841367,20431.5223,20429.841367,13321.089201,20420.018529,20429.841367,18201.285142
2341,21079.018188,22336.308939,21079.018188,17350.653079,21279.466711,21314.378281,20061.192917
3015,24321.020263,25385.320755,24321.020263,16818.102724,24091.92575,24395.712914,24052.491653
2325,107939.559678,107940.013791,107939.559678,67982.371006,106775.9574,107939.559678,95324.290226
2711,111748.130139,111749.48482,111748.130139,69639.628552,107098.552412,111534.846925,102841.785918
3494,124567.804847,127941.242206,124567.804847,88583.34397,123896.077506,124567.804847,116567.27709
2010,21975.649942,22508.993963,21975.649942,18986.248405,21924.960366,21975.649942,21924.960366
2315,23447.215212,23448.88917,23447.215212,18366.144134,23154.516519,23447.215212,23154.516519
3127,26310.258412,27833.692333,26310.258412,19716.614265,26421.513595,26438.292823,26460.475773
