vertices,IP,Greedy,Iterated,SA,Evo
4170,900.121715723,2.321839863,98.728629173,636.723370922,553.778316958
2948,895.310509182,2.012122458,30.456369298,350.085360194,737.839968101
2950,807.757726892,1.732954055,23.575447255,210.035030307,435.444820647
3379,900.080224377,2.049301317,40.335057275,341.966942934,911.684616424
2908,900.063447952,2.034061075,48.202886139,333.988201157,577.195083838
3453,408.753692817,2.585677086,52.083118445,450.418623117,631.506795775
4831,900.150415023,4.334167905,39.919824249,608.01231812,910.631104193
3729,900.08565185,3.227877346,36.482055143,458.589564547,678.413924023
5093,566.101746268,5.044125161,48.640816414,541.836142501,815.691186293
1828,205.273494082,0.715194488,16.189912271,245.459211115,919.224000545
2126,406.285928803,0.809102069,20.647990645,224.115817995,741.243773475
2983,900.188264757,1.484321686,33.464309389,280.834626281,696.172600552
2405,581.073898471,1.52335151,23.582757784,250.522881983,389.225462996
2820,900.059664618,2.056125719,12.080546439,332.341064849,696.64878181
1946,555.921524749,0.986188256,23.491795495,222.69939495,558.99887304
3015,900.067597171,1.744090412,29.021262744,230.318822352,621.263354259
2325,97.195731453,1.13591328,26.621405809,260.411622327,586.893609309
2711,579.36324233,1.431459458,45.715701455,315.896786135,552.439734685
3494,900.091116418,2.36877212,52.091605209,379.553007808,395.165193845
2010,900.059209654,1.130761083,15.569282304,245.868659612,906.84056408
2315,625.184985535,1.272198255,20.201155348,300.000989906,915.913668811
