vertices,IP,Greedy,Iterated,SA,Evo
2645,900.066456816,1.488706929,40.191194147,300.209072797,536.686081256
3026,900.529419193,1.838655045,35.990943065,410.104778709,847.557389149
4170,900.121715723,2.321839863,98.728629173,636.723370922,553.778316958
2948,895.310509182,2.012122458,30.456369298,350.085360194,737.839968101
3342,900.080694878,2.450659668,26.373182765,385.627924753,748.554478069
4480,900.138933591,3.509022777,53.448203363,505.903847069,612.242740392
2950,807.757726892,1.732954055,23.575447255,210.035030307,435.444820647
3379,900.080224377,2.049301317,40.335057275,341.966942934,911.684616424
4489,900.094229143,2.914952775,53.867309806,411.994120826,913.378594138
2908,900.063447952,2.034061075,48.202886139,333.988201157,577.195083838
3453,408.753692817,2.585677086,52.083118445,450.418623117,631.506795775
4831,900.150415023,4.334167905,39.919824249,608.01231812,910.631104193
3209,900.071074505,2.62484703,18.942101718,279.900637179,807.231984095
3729,900.08565185,3.227877346,36.482055143,458.589564547,678.413924023
5093,566.101746268,5.044125161,48.640816414,541.836142501,815.691186293
3681,900.089975167,1.809849589,39.292240872,377.294014514,744.403712072
4356,900.09965696,2.60520052,56.992715848,507.30688043,923.096379997
5978,900.11913421,5.008741623,48.968228017,598.936773515,680.333562912
4153,900.085060962,2.642378685,106.29833002,425.307537153,564.066337643
4787,900.108862033,3.159970299,117.315367127,468.40062067,659.692523135
6665,900.124113582,6.710139191,82.974121785,792.218757246,899.869026726
3462,900.075372185,1.866930116,55.022247325,338.504502691,607.574195712
4132,900.100462851,3.266655529,34.418402719,456.295686661,741.754544151
5850,900.099112525,5.617779901,33.38488805,528.04728146,768.123766754
5551,900.114802717,3.65120492,38.425876048,458.631733108,737.003982364
6595,900.122292533,3.860666797,76.132709266,477.499676377,602.414361888
9125,900.204946028,8.981962771,90.20802959,835.076787043,656.090412927
5727,900.112326889,4.944087946,30.604178663,337.899230307,694.950063377
6805,900.125175041,6.108506235,71.51609559,559.76779209,758.309713516
9441,900.207720577,9.950778415,64.934860194,670.62732514,613.829261417
1828,205.273494082,0.715194488,16.189912271,245.459211115,919.224000545
2126,406.285928803,0.809102069,20.647990645,224.115817995,741.243773475
2983,900.188264757,1.484321686,33.464309389,280.834626281,696.172600552
2405,581.073898471,1.52335151,23.582757784,250.522881983,389.225462996
2820,900.059664618,2.056125719,12.080546439,332.341064849,696.64878181
3664,900.077935474,2.821526781,24.17091338,240.693762114,813.033545292
1946,555.921524749,0.986188256,23.491795495,222.69939495,558.99887304
2341,900.04898209,1.324137913,19.594128305,247.083240612,765.92424326
3015,900.067597171,1.744090412,29.021262744,230.318822352,621.263354259
2325,97.195731453,1.13591328,26.621405809,260.411622327,586.893609309
2711,579.36324233,1.431459458,45.715701455,315.896786135,552.439734685
3494,900.091116418,2.36877212,52.091605209,379.553007808,395.165193845
2010,900.059209654,1.130761083,15.569282304,245.868659612,906.84056408
2315,625.184985535,1.272198255,20.201155348,300.000989906,915.913668811
3127,900.140793588,1.99181645,22.495366626,252.126688812,603.647691536
