#solverGreedyLocalGlobal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	5	25534339	6370.144074	
random-2-opt-60-1337	0	193	7435	3681	10	98911693	18170.733772	
random-2-opt-60-1337	0	193	7435	3681	15	226103163	25923.415742	
random-2-opt-60-1337	0	193	7435	3681	20	397049217	34941.060374	
random-2-opt-60-1337	0	193	7435	3681	25	623366043	47940.883036	
random-2-opt-60-1337	0	193	7435	3681	30	909207804	63196.074748	
random-2-opt-60-1337	1	209	8801	4356	5	37770838	10140.435678	
random-2-opt-60-1337	1	209	8801	4356	10	172182887	20628.638736	
random-2-opt-60-1337	1	209	8801	4356	15	345884194	29855.858579	
random-2-opt-60-1337	1	209	8801	4356	20	596816161	41779.533461	
random-2-opt-60-1337	1	209	8801	4356	25	929665544	57639.600401	
random-2-opt-60-1337	1	209	8801	4356	30	1357511997	75787.584061	
random-2-opt-60-1337	2	246	12082	5978	5	59720738	10140.435678	
random-2-opt-60-1337	2	246	12082	5978	10	289711263	24635.934589	
random-2-opt-60-1337	2	246	12082	5978	15	668347309	41173.240779	
random-2-opt-60-1337	2	246	12082	5978	20	1184752697	57112.958685	
random-2-opt-60-1337	2	246	12082	5978	25	1852760197	79255.574088	
random-2-opt-60-1337	2	246	12082	5978	30	2635366286	98970.989331	
von_koch-random-55-3	0	163	5373	2645	5	19697714	3034.400093	
von_koch-random-55-3	0	163	5373	2645	10	57853714	3989.454912	
von_koch-random-55-3	0	163	5373	2645	15	148360794	9528.956143	
von_koch-random-55-3	0	163	5373	2645	20	286164295	12322.373959	
von_koch-random-55-3	0	163	5373	2645	25	454164223	18231.014382	
von_koch-random-55-3	0	163	5373	2645	30	676176199	23460.864914	
von_koch-random-55-3	1	179	6153	3026	5	22987903	3034.400093	
von_koch-random-55-3	1	179	6153	3026	10	68214109	3989.454912	
von_koch-random-55-3	1	179	6153	3026	15	179058224	9372.502341	
von_koch-random-55-3	1	179	6153	3026	20	347514682	14504.255631	
von_koch-random-55-3	1	179	6153	3026	25	563409626	20218.051322	
von_koch-random-55-3	1	179	6153	3026	30	840424891	26496.357851	
von_koch-random-55-3	2	213	8481	4170	5	36722047	3068.561437	
von_koch-random-55-3	2	213	8481	4170	10	113148112	4424.031576	
von_koch-random-55-3	2	213	8481	4170	15	250023310	7755.638869	
von_koch-random-55-3	2	213	8481	4170	20	451043740	11022.833981	
von_koch-random-55-3	2	213	8481	4170	25	727932084	17201.262211	
von_koch-random-55-3	2	213	8481	4170	30	1102537055	22439.571284	
von_koch-random-55-4	0	163	5982	2948	5	27404621	10853.916524	
von_koch-random-55-4	0	163	5982	2948	10	112929856	25424.045483	
von_koch-random-55-4	0	163	5982	2948	15	246927996	39821.789292	
von_koch-random-55-4	0	163	5982	2948	20	414785692	52555.553711	
von_koch-random-55-4	0	163	5982	2948	25	612898776	64237.937696	
von_koch-random-55-4	0	163	5982	2948	30	836838568	75560.997756	
von_koch-random-55-4	1	179	6789	3342	5	32458292	10853.916524	
von_koch-random-55-4	1	179	6789	3342	10	130337373	26386.579549	
von_koch-random-55-4	1	179	6789	3342	15	284938019	44055.261224	
