#solverSALocal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	5	38349907379	10107.729621	
random-2-opt-60-1337	0	193	7435	3681	10	98171887790	24889.826935	
random-2-opt-60-1337	0	193	7435	3681	15	113810435696	41786.234225	
random-2-opt-60-1337	0	193	7435	3681	20	157343983734	58729.637742	
random-2-opt-60-1337	0	193	7435	3681	25	258762886107	76085.017886	
random-2-opt-60-1337	0	193	7435	3681	30	225102203712	93318.739809	
random-2-opt-60-1337	1	209	8801	4356	5	54396540686	11226.621180	
random-2-opt-60-1337	1	209	8801	4356	10	140502403051	25615.615553	
random-2-opt-60-1337	1	209	8801	4356	15	189668248692	42825.636811	
random-2-opt-60-1337	1	209	8801	4356	20	243373800877	60756.142316	
random-2-opt-60-1337	1	209	8801	4356	25	348847602747	80530.331261	
random-2-opt-60-1337	1	209	8801	4356	30	332461145940	100391.960683	
random-2-opt-60-1337	2	246	12082	5978	5	44701356532	11258.036407	
random-2-opt-60-1337	2	246	12082	5978	10	194687760001	27071.202045	
random-2-opt-60-1337	2	246	12082	5978	15	192945558248	46191.596279	
random-2-opt-60-1337	2	246	12082	5978	20	244777880160	67451.307621	
random-2-opt-60-1337	2	246	12082	5978	25	412363892862	88510.288049	
random-2-opt-60-1337	2	246	12082	5978	30	437683402681	111001.618651	
von_koch-random-55-3	0	163	5373	2645	5	45808629878	4597.294733	
von_koch-random-55-3	0	163	5373	2645	10	81485575389	9379.721081	
von_koch-random-55-3	0	163	5373	2645	15	143293886491	14997.116433	
von_koch-random-55-3	0	163	5373	2645	20	172516990940	20444.361252	
von_koch-random-55-3	0	163	5373	2645	25	190046920130	26550.723499	
von_koch-random-55-3	0	163	5373	2645	30	198641414522	32495.170675	
von_koch-random-55-3	1	179	6153	3026	5	55878940101	4864.793962	
von_koch-random-55-3	1	179	6153	3026	10	117132731700	10383.784959	
von_koch-random-55-3	1	179	6153	3026	15	197805285835	16512.397320	
von_koch-random-55-3	1	179	6153	3026	20	253340424449	22896.889306	
von_koch-random-55-3	1	179	6153	3026	25	274039871765	29092.828088	
von_koch-random-55-3	1	179	6153	3026	30	282045561791	35281.305982	
von_koch-random-55-3	2	213	8481	4170	5	55545304374	4864.793962	
von_koch-random-55-3	2	213	8481	4170	10	214387675414	11059.546770	
von_koch-random-55-3	2	213	8481	4170	15	209449629201	18158.427564	
von_koch-random-55-3	2	213	8481	4170	20	260247235770	26072.762744	
von_koch-random-55-3	2	213	8481	4170	25	411310737619	33311.453975	
von_koch-random-55-3	2	213	8481	4170	30	280298676349	40581.196251	
von_koch-random-55-4	0	163	5982	2948	5	24073598597	11419.698605	
von_koch-random-55-4	0	163	5982	2948	10	54592522972	26795.382061	
von_koch-random-55-4	0	163	5982	2948	15	119089950359	44140.762731	
von_koch-random-55-4	0	163	5982	2948	20	167009609103	60530.626167	
von_koch-random-55-4	0	163	5982	2948	25	226266800728	80186.503749	
von_koch-random-55-4	0	163	5982	2948	30	226408401282	97534.009641	
von_koch-random-55-4	1	179	6789	3342	5	38654909239	11419.698605	
von_koch-random-55-4	1	179	6789	3342	10	77023241981	28616.853994	
von_koch-random-55-4	1	179	6789	3342	15	146802277802	46782.228665	
von_koch-random-55-4	1	179	6789	3342	20	165488542342	66820.063008	
von_koch-random-55-4	1	179	6789	3342	25	258880074780	86304.276810	
von_koch-random-55-4	1	179	6789	3342	30	288012218343	105572.623511	
von_koch-random-55-4	2	213	9115	4480	5	54521095141	11645.191520	
von_koch-random-55-4	2	213	9115	4480	10	110341204864	28568.036094	
von_koch-random-55-4	2	213	9115	4480	15	215439922293	48265.096974	
von_koch-random-55-4	2	213	9115	4480	20	235388335934	70790.935132	
von_koch-random-55-4	2	213	9115	4480	25	342140936366	89471.134793	
von_koch-random-55-4	2	213	9115	4480	30	417489604280	111635.755728	
von_koch-random-60-2	0	193	8426	4153	5	65969351049	1377.664823	
von_koch-random-60-2	0	193	8426	4153	10	98557912591	3376.001222	
von_koch-random-60-2	0	193	8426	4153	15	167584991965	5411.995202	
von_koch-random-60-2	0	193	8426	4153	20	265790302766	7850.554609	
von_koch-random-60-2	0	193	8426	4153	25	286082809077	10217.428467	
von_koch-random-60-2	0	193	8426	4153	30	516821289586	12506.864933	
von_koch-random-60-2	1	209	9717	4787	5	53427687892	1377.664823	
von_koch-random-60-2	1	209	9717	4787	10	149386722086	3364.386048	
von_koch-random-60-2	1	209	9717	4787	15	278367610895	5673.054109	
von_koch-random-60-2	1	209	9717	4787	20	374536124734	8097.007539	
von_koch-random-60-2	1	209	9717	4787	25	317990776492	10444.337538	
von_koch-random-60-2	1	209	9717	4787	30	364467889361	13059.563866	
von_koch-random-60-2	2	246	13518	6665	5	67743504485	1439.960950	
von_koch-random-60-2	2	246	13518	6665	10	159088714095	3664.506018	
von_koch-random-60-2	2	246	13518	6665	15	326592036272	6016.504001	
von_koch-random-60-2	2	246	13518	6665	20	331782556077	8667.966141	
von_koch-random-60-2	2	246	13518	6665	25	545703736790	11570.181085	
von_koch-random-60-2	2	246	13518	6665	30	656421176653	14645.970919	
von_koch-random-60-5	0	193	7031	3462	5	46156800569	146145.083576	
von_koch-random-60-5	0	193	7031	3462	10	129623684704	352820.241097	
von_koch-random-60-5	0	193	7031	3462	15	207240778563	566869.926677	
von_koch-random-60-5	0	193	7031	3462	20	225709077153	771068.349443	
von_koch-random-60-5	0	193	7031	3462	25	223373979784	980138.020675	
von_koch-random-60-5	0	193	7031	3462	30	302313656017	1181557.953793	
von_koch-random-60-5	1	209	8390	4132	5	61526089048	146145.083576	
von_koch-random-60-5	1	209	8390	4132	10	178087469549	350972.520231	
von_koch-random-60-5	1	209	8390	4132	15	200301123183	567134.238422	
von_koch-random-60-5	1	209	8390	4132	20	328133775190	779888.821286	
von_koch-random-60-5	1	209	8390	4132	25	301771581316	1032110.322777	
von_koch-random-60-5	1	209	8390	4132	30	317703915551	1257577.661346	
von_koch-random-60-5	2	246	11869	5850	5	77135401389	153057.083576	
von_koch-random-60-5	2	246	11869	5850	10	179050257689	377367.767091	
von_koch-random-60-5	2	246	11869	5850	15	295886527733	627044.833396	
von_koch-random-60-5	2	246	11869	5850	20	389891254298	891387.468221	
von_koch-random-60-5	2	246	11869	5850	25	360800812244	1145728.477728	
von_koch-random-60-5	2	246	11869	5850	30	325563902973	1385451.680043	
random-x-monotone-55-1337	0	158	5948	2950	5	37914258452	11175.861771	
random-x-monotone-55-1337	0	158	5948	2950	10	93726101920	26425.131508	
random-x-monotone-55-1337	0	158	5948	2950	15	121304764009	43115.515147	
random-x-monotone-55-1337	0	158	5948	2950	20	134873782337	59001.732083	
random-x-monotone-55-1337	0	158	5948	2950	25	145445030264	74732.271346	
