vertices,solverIteratedGlobal_concat,solverIteratedLocal_concat,solverSAGlobal_concat,solverSALocal_concat
3681,1.6874155880762223,1.6874155880762223,1.0,1.6808201329144927
4356,1.433685766714311,1.433685766714311,1.0,1.4542082518157873
5978,1.1854250279592218,1.1854250279592218,1.0,1.1810158180216155
2645,1.6476053994588884,1.6476053994588884,1.0,1.6591252075309622
3026,1.5699867838326298,1.5699867838326298,1.000923039647163,1.5786324985242532
4170,2.3653411444771355,2.3653411444771355,1.0,2.3653411444771355
2948,1.1153670881357485,1.1153670881357485,1.0,1.1517455700277552
3342,1.1144556694173087,1.1144556694173087,1.0,1.1174000774340265
4480,1.0928280535695452,1.0928280535695452,1.0,1.1495239329290354
4153,1.6404839294053575,1.6404839294053575,1.0,1.737527113644791
4787,1.6204401748425494,1.6204401748425494,1.0025534258471323,1.7229256945422462
6665,1.2223245306626709,1.2223245306626709,1.0087366379962832,1.2244634616837946
3462,1.2803975720796048,1.2803975720796048,1.0,1.5810331247956135
4132,1.0874863922035078,1.0874863922035078,1.0,1.0925322212164932
5850,1.1396802027811783,1.1396802027811783,1.0063684859792046,1.1554205487749487
2950,1.2866128130883265,1.2866128130883265,1.0150289402050625,1.3004756392732926
3379,1.4223120736738841,1.4223120736738841,1.0,1.4404392870927638
4489,1.4727652254079941,1.4727652254079941,1.0083250718125103,1.475409845194802
3764,1.2859718836472611,1.2859718836472611,1.012139925296687,1.2807438024563318
4418,1.2859718836472611,1.2859718836472611,1.0001347798533373,1.2819491108927714
5621,1.3301947977486182,1.3301947977486182,1.0,1.3936132548791518
3129,1.218257304765011,1.218257304765011,1.0,1.353857959523789
3685,1.386123106284058,1.386123106284058,1.0,1.5256458540936206
5190,1.6546365065433688,1.6546365065433688,1.043131886493336,1.6886827328442844
2908,1.4980460868074383,1.4980460868074383,1.0084810296812408,1.4824503261507969
3453,1.37534871395368,1.37534871395368,1.0,1.3740009156225872
4831,1.3692072447347199,1.3692072447347199,1.0062882639421924,1.3692072447347199
3209,1.1234685824832513,1.1234685824832513,1.0,1.1256786978217188
3729,1.134453221498169,1.134453221498169,1.0,1.134453221498169
5093,1.1489904465870227,1.1489904465870227,1.0,1.1384941727537141
3681,1.6874155880762223,1.6874155880762223,1.0,1.6808201329144927
4356,1.433685766714311,1.433685766714311,1.0,1.4542082518157873
5978,1.1854250279592218,1.1854250279592218,1.0,1.1810158180216155
2645,1.6476053994588884,1.6476053994588884,1.0,1.6591252075309622
3026,1.5699867838326298,1.5699867838326298,1.000923039647163,1.5786324985242532
4170,2.3653411444771355,2.3653411444771355,1.0,2.3653411444771355
2948,1.1153670881357485,1.1153670881357485,1.0,1.1517455700277552
3342,1.1144556694173087,1.1144556694173087,1.0,1.1174000774340265
4480,1.0928280535695452,1.0928280535695452,1.0,1.1495239329290354
4153,1.6404839294053575,1.6404839294053575,1.0,1.737527113644791
4787,1.6204401748425494,1.6204401748425494,1.0025534258471323,1.7229256945422462
6665,1.2223245306626709,1.2223245306626709,1.0087366379962832,1.2244634616837946
3462,1.2803975720796048,1.2803975720796048,1.0,1.5810331247956135
4132,1.0874863922035078,1.0874863922035078,1.0,1.0925322212164932
5850,1.1396802027811783,1.1396802027811783,1.0063684859792046,1.1554205487749487
1828,1.3593446765387363,1.3593446765387363,1.0,1.3593446765387363
2126,1.7261312207453419,1.7261312207453419,1.0,1.743530458103767
2983,1.4173332978499442,1.4173332978499442,1.0,1.4124846556939952
2405,1.1350272227521814,1.1350272227521814,1.0114558175954482,1.1543917113621702
2820,1.0872537532697524,1.0872537532697524,1.0,1.1027337516551516
3664,1.2538034179331439,1.2538034179331439,1.0,1.2736002910150839
1946,1.5777346512542691,1.5777346512542691,1.00536795815212,1.6417870608798815
2341,1.2704626439056286,1.2704626439056286,1.0,1.2916364991450502
3015,1.471982295909412,1.471982295909412,1.0,1.471982295909412
2325,1.524069869220509,1.524069869220509,1.0487112836078292,1.6114000922442706
2711,1.6545167812677162,1.6545167812677162,1.0056859812501657,1.64447143551276
3494,1.3830524954253016,1.3830524954253016,1.0,1.485300750854109
2010,1.1810090607092145,1.1810090607092145,1.0,1.1804413641832157
2315,1.3482472589267191,1.3482472589267191,1.0058349427917597,1.3482472589267191
3127,1.433665523058407,1.433665523058407,1.0,1.4998931079760094
1966,1.2949458617147251,1.2949458617147251,1.0,1.2949458617147251
2365,1.1935431341476164,1.1935431341476164,1.0,1.208958231179584
2970,1.158513686441654,1.158513686441654,1.0,1.210020947045549
2026,1.0907444610585155,1.0907444610585155,1.0,1.1044477149725538
2439,1.4244599989588596,1.4244599989588596,1.0,1.4273756235170454
3126,1.3124270472773127,1.3124270472773127,1.0,1.3575610853510547
2014,1.1404191100432886,1.1404191100432886,1.0,1.1794729430279023
2381,1.4429422317063274,1.4429422317063274,1.0015595936387682,1.701001647626461
3153,1.2119353111258777,1.2119353111258777,1.0263434829828553,1.2837188422407184
2025,1.185047585030809,1.185047585030809,1.0,1.226310621580667
2296,1.058846561433518,1.058846561433518,1.0041082759269637,1.0775194742971967
3165,1.1490232483808251,1.1490232483808251,1.0,1.1676998250849715
2123,1.2157333022583674,1.2157333022583674,1.0059104818343434,1.249870303358683
2453,1.2925457450814395,1.2925457450814395,1.0,1.4184087163567307
3324,1.472212311262732,1.472212311262732,1.0057555249405024,1.530745493792211
