vertices,solverGreedyLocalGlobal_concat,solverIteratedGlobal_concat,solverIteratedLocal_concat,solverSAGlobal_concat,solverSALocal_concat
3681,0.397049217,21.012514489,19.452754745,4.551873557,157.343983734
4356,0.596816161,21.476080381,19.966592913,5.669704943,243.373800877
5978,1.184752697,19.321293253,18.132318648,7.450673826,244.77788016
2645,0.286164295,12.274079138,11.622437154,4.572244121,172.51699094
3026,0.347514682,16.864766522,15.971620516,6.728663244,253.340424449
4170,0.45104374,32.986033664,30.439211867,5.065936502,260.24723577
2948,0.414785692,4.843357893,4.472527706,4.928298614,167.009609103
3342,0.488173348,7.532217528,7.080632258,5.857732211,165.488542342
4480,0.703958619,8.768556151,8.376114171,6.016035101,235.388335934
4153,0.550326577,22.960321011,22.166976097,4.789336795,265.790302766
4787,0.668992139,32.806815525,31.305172052,5.095207533,374.536124734
6665,1.518947903,26.224359976,25.200089462,8.337416284,331.782556077
3462,0.367015459,6.31472922,5.670606498,3.710035425,225.709077153
4132,0.628937262,11.064915672,10.702621172,6.693126942,328.13377519
5850,1.149303511,22.419671909,22.164231406,8.302419332,389.891254298
2950,0.370856665,7.870537548,7.689077902,5.000552031,134.873782337
3379,0.43840448,10.692415652,10.351262463,4.593679997,189.572807366
4489,0.646284636,22.308890557,21.583791846,5.713735999,261.962737297
3764,0.452775635,12.815500099,12.248736334,5.092940312,214.519768283
4418,0.548406791,15.864087438,14.923570007,6.401787058,264.783204993
5621,0.859730594,18.498274622,17.126093584,6.517806021,297.878789057
3129,0.368001508,7.64507091,7.147726891,6.004672007,194.620538548
3685,0.431886295,10.905602105,10.193378227,6.581352836,240.317236884
5190,0.682161145,24.447454723,23.385607254,5.969054661,285.726610464
2908,0.435616357,14.595126221,14.148686224,4.239718585,159.583858631
3453,0.549199322,14.856703506,14.41840101,6.834659948,215.471989515
4831,0.921575127,22.626719557,22.721620099,8.433070345,293.4192029
3209,0.57116212,4.653157337,4.557459796,6.614493452,195.098981617
3729,0.69590636,9.73863818,9.512135114,7.13816374,204.919038018
5093,1.079459248,12.522509635,12.217543845,8.163134257,337.309543037
3681,0.399210483,20.90199593,19.359676599,4.32924201,157.604778732
4356,0.60258606,21.407948947,19.903127437,5.67774626,234.419305229
5978,1.183174041,19.546132908,18.117646187,7.194579599,244.610647853
2645,0.279474397,12.182105115,11.717102892,4.527445898,169.761970137
3026,0.354629318,16.862622194,15.977275841,6.654157152,249.746301938
4170,0.452578201,32.893235161,30.493528306,4.833612699,256.353574483
2948,0.421142156,4.756001175,4.484617892,4.872935109,158.688330949
3342,0.49078581,7.28049172,7.085542886,5.966650809,163.631600744
4480,0.709642909,8.757720244,8.334296229,5.814890939,234.600721448
4153,0.54666754,22.975149756,22.072163878,4.740475978,262.254357376
4787,0.671724012,32.681317499,31.056803163,5.02129733,371.270964616
6665,1.524057016,26.227526556,25.125456523,7.971119755,330.861376954
3462,0.366933054,6.358533257,5.658743875,3.778210698,218.359092045
4132,0.636065309,11.059218352,10.743482276,6.535091239,319.080263334
5850,1.151248641,22.421713395,23.157917556,8.485820874,387.460567778
1828,0.14646516,6.270737271,5.937900872,3.647807516,121.753863449
2126,0.168993555,7.204622367,6.602130925,3.416450574,108.858435736
2983,0.29464807,9.225782631,8.570924161,3.845942462,148.608169224
2405,0.324378315,3.851006575,3.791735983,3.89914291,117.114547387
2820,0.452802883,3.99808675,3.811380419,5.37884877,156.063782087
3664,0.625835669,11.183454217,10.330825864,4.544967235,225.436688866
1946,0.21555524,6.179962633,5.771877163,4.077109356,119.069157478
2341,0.287243701,7.209304503,6.789017989,3.978467344,142.084628209
3015,0.378703582,10.443582094,9.824537263,4.902611111,189.601400151
2325,0.244761976,6.758939296,6.275142947,3.772582861,144.518543459
2711,0.314282916,14.558275608,13.855750212,5.237566971,166.403854885
3494,0.532978593,11.149794854,10.588131951,5.615696388,163.131384653
2010,0.232119843,3.2690138,3.186455378,4.059752908,146.459140965
2315,0.264630423,8.86739991,8.737341588,4.614192199,147.077441064
3127,0.399677025,7.150627026,6.973041612,4.979177491,163.947364086
1966,0.210763926,6.133276558,5.892721648,3.351019996,110.31755278
2365,0.274899279,5.711368162,5.590553186,3.710044283,127.039622118
2970,0.491992328,5.177658685,5.106053212,5.0490461,155.215456332
2026,0.249646911,3.904727046,3.838967113,3.447734843,138.505271459
2439,0.299943261,7.02777524,6.787281705,3.367720774,132.500738728
3126,0.403050099,10.728842071,10.305870123,3.901396881,153.94868869
2014,0.237501088,3.530729712,3.42325125,4.902512342,109.637867588
2381,0.214648214,5.430157701,4.866593889,2.753530135,130.924321071
3153,0.387880183,5.148594572,4.857430108,5.394964735,197.125580873
2025,0.234424248,4.421760506,4.231838589,3.070715075,86.034293342
2296,0.317377721,1.796026196,1.753644268,3.706578999,115.00769169
3165,0.520307218,5.651921467,5.51362112,5.556767924,207.416999662
2123,0.231983596,6.186334971,6.037709504,3.466945571,86.565070991
2453,0.258730582,10.45588616,9.999623217,2.792393805,151.767262568
3324,0.412688924,9.54564515,9.141989062,4.94023511,143.862681614
