vertices,Greedy,IteratedGlobal,IteratedLocal,SAGlobal,SALocal
3681,0.909207804,32.233391458,30.987955053,6.186586198,225.102203712
4356,1.357511997,41.950728033,40.410013955,7.307807724,332.46114594
5978,2.635366286,45.958811438,44.298419768,10.740090209,437.683402681
2645,0.676176199,19.209884157,18.973551911,7.775686104,198.641414522
3026,0.840424891,24.686742997,24.0331705,8.536075732,282.045561791
4170,1.102537055,61.786175465,59.65130076,8.828912362,280.298676349
2948,0.836838568,29.867307913,28.6381752,6.222454404,226.408401282
3342,1.039270436,30.2037515,29.324517213,7.513281993,288.012218343
4480,1.501291402,41.713951108,41.46600487,8.404573335,417.48960428
4153,1.289325425,68.92285804,69.245084941,7.596241623,516.821289586
4787,1.519515474,86.067799559,85.698534164,7.322098648,364.467889361
6665,3.26051407,87.569438555,87.639460422,12.112456602,656.421176653
3462,0.776841622,44.282055844,43.980523609,6.636578823,302.313656017
4132,1.465556782,34.841891228,34.71056696,8.77364748,317.703915551
5850,2.602516913,31.869484809,31.985371552,12.675678471,325.563902973
2950,0.862298669,20.004480612,19.99048097,6.433222761,317.797260209
3379,1.024602444,30.073771915,29.798242809,7.497680248,276.752807821
4489,1.525659368,45.145395654,45.084922883,8.253233962,367.896681813
3764,1.101697161,32.544477757,32.220179929,6.992414706,304.703069086
4418,1.354478552,53.514420032,52.702009164,7.622244742,297.426863185
5621,2.046706602,69.713567422,69.06642937,9.888661371,486.639345555
3129,0.862372479,28.72025178,28.501147203,7.434222633,313.027175796
3685,1.042148831,36.146130545,35.692847146,7.842743971,312.203855843
5190,1.677508999,58.841029433,57.1576714,11.07707573,503.703007525
2908,0.870914278,34.972877953,34.6671793,5.809754624,241.710294557
3453,1.188444185,41.81723673,41.552746082,7.364747453,259.87354469
4831,2.05001948,36.014975559,35.931822165,11.345737366,345.918016526
3209,1.224460389,17.040965496,17.068051378,7.941476171,281.960939653
3729,1.573558564,22.007426886,22.218625065,9.436204292,294.71381728
5093,2.502614272,43.763450672,43.60585519,12.83725069,475.842419229
3681,0.91135243,32.137124222,30.866617554,6.075629708,217.081438691
4356,1.360268199,41.879441682,40.32579944,7.05144915,311.674572515
5978,2.636131466,46.678734506,44.352899536,10.562584591,425.440763219
2645,0.667391742,18.76984152,18.534826439,7.673198519,198.290954836
3026,0.841592907,24.632641344,25.042457571,8.349740272,277.703806017
4170,1.102945899,60.731946561,59.492875573,8.99189624,269.446779833
2948,0.833090179,29.01144815,28.634154086,6.146095837,222.550874184
3342,1.039030578,29.960459349,29.327539094,7.340069644,293.699046665
4480,1.494272817,41.666829847,41.316409096,8.126378512,410.110879174
4153,1.283587812,68.979004924,69.007275103,7.288275723,504.816613016
4787,1.511240872,86.033590462,85.307960976,7.198853946,358.039181385
6665,3.264109837,87.494272056,87.296651975,11.865374359,647.216001839
3462,0.7745205,44.581560166,43.882960847,6.43554769,299.506186272
4132,1.466004291,34.741560472,34.699711778,8.81298496,314.915949314
5850,2.628548011,31.90388995,31.976068669,12.351815572,316.650356441
1828,0.335828438,12.422575249,11.676830456,4.562872288,140.427196865
2126,0.3972739,19.583233912,18.968806058,4.799887068,151.860800909
2983,0.730688683,31.893936164,30.874977703,5.606848126,258.082633281
2405,0.720505478,14.239999112,13.758960375,5.186611686,152.639467345
2820,1.002057006,19.423773875,18.802960079,6.954664806,169.549063603
3664,1.312103989,37.852588688,36.391551195,6.669529233,354.522446566
1946,0.445976726,17.925874697,17.382543648,4.418716234,158.915520868
2341,0.645198915,17.40801753,16.858724306,5.736886447,156.425620489
3015,0.83837027,23.325891156,22.231427914,6.556081641,257.93498832
2325,0.526298814,20.375982016,19.717695867,4.591683654,155.741830722
2711,0.683966737,36.757944615,35.638247699,6.304437293,211.549781761
3494,1.137519146,35.731816424,35.669650412,7.549645958,227.061107874
2010,0.520599556,13.220783969,13.270866134,5.125557321,201.142404242
2315,0.59632139,15.342073223,15.35281147,5.634759827,153.460383687
3127,0.946513919,26.762742037,26.69107541,7.485382107,170.062401959
1966,0.473995249,9.454266599,9.499954199,4.501303632,145.478960784
2365,0.640294194,13.321516334,12.904788951,5.230302742,192.891493838
2970,1.052725575,14.263679023,14.330795821,6.579504906,178.503803726
2026,0.544761784,7.583949468,7.694195976,4.892455065,139.362957183
2439,0.646562961,18.014824634,18.096641368,5.126228284,194.793541097
3126,0.904310668,25.13033956,25.180352101,6.514984586,203.860567119
2014,0.51959335,7.587282456,7.604081922,5.376281416,188.025879409
2381,0.489468607,20.64646611,20.57157149,5.658610862,217.993309846
3153,0.866431066,21.106849747,21.15048513,8.186911096,295.142514494
2025,0.516498634,17.369736688,17.345378998,4.450765717,196.447349165
2296,0.697943784,11.115556088,11.179954936,5.368058479,173.622633865
3165,1.165597481,10.159687632,10.178732446,6.639549243,270.339073065
2123,0.539068988,11.637021335,11.694461566,4.785865092,217.330790462
2453,0.595308003,35.942675723,35.822962718,4.345696011,181.213036478
3324,0.971099719,36.370779888,36.426788008,6.100301353,276.688039784
