#solverSAGlobal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-60-1337	0	193	7435	3681	5	1790958991	6370.144074	
random-2-opt-60-1337	0	193	7435	3681	10	3804089367	18170.733772	
random-2-opt-60-1337	0	193	7435	3681	15	4447399232	25923.415742	
random-2-opt-60-1337	0	193	7435	3681	20	4329242010	34941.060374	
random-2-opt-60-1337	0	193	7435	3681	25	5306952706	48266.436778	
random-2-opt-60-1337	0	193	7435	3681	30	6075629708	63196.074748	
random-2-opt-60-1337	1	209	8801	4356	5	4434580312	10140.435678	
random-2-opt-60-1337	1	209	8801	4356	10	4849597339	20628.638736	
random-2-opt-60-1337	1	209	8801	4356	15	4527300139	29855.858579	
random-2-opt-60-1337	1	209	8801	4356	20	5677746260	41779.533461	
random-2-opt-60-1337	1	209	8801	4356	25	6856721445	57639.600401	
random-2-opt-60-1337	1	209	8801	4356	30	7051449150	75787.584061	
random-2-opt-60-1337	2	246	12082	5978	5	5797679354	10140.435678	
random-2-opt-60-1337	2	246	12082	5978	10	5703133768	24635.934589	
random-2-opt-60-1337	2	246	12082	5978	15	6118873921	41173.240779	
random-2-opt-60-1337	2	246	12082	5978	20	7194579599	57112.958685	
random-2-opt-60-1337	2	246	12082	5978	25	9581871422	79255.574088	
random-2-opt-60-1337	2	246	12082	5978	30	10562584591	98970.989331	
von_koch-random-55-3	0	163	5373	2645	5	2850696176	3034.400093	
von_koch-random-55-3	0	163	5373	2645	10	3563230247	4772.214188	
von_koch-random-55-3	0	163	5373	2645	15	4714925344	9528.956143	
von_koch-random-55-3	0	163	5373	2645	20	4527445898	12322.373959	
von_koch-random-55-3	0	163	5373	2645	25	5887170190	18244.005289	
von_koch-random-55-3	0	163	5373	2645	30	7673198519	23502.574180	
von_koch-random-55-3	1	179	6153	3026	5	2157194281	3034.400093	
von_koch-random-55-3	1	179	6153	3026	10	3300924987	5002.547600	
von_koch-random-55-3	1	179	6153	3026	15	5791710213	9372.502341	
von_koch-random-55-3	1	179	6153	3026	20	6654157152	14517.643634	
von_koch-random-55-3	1	179	6153	3026	25	7857135001	20218.051322	
von_koch-random-55-3	1	179	6153	3026	30	8349740272	26496.357851	
von_koch-random-55-3	2	213	8481	4170	5	2813337245	3068.561437	
von_koch-random-55-3	2	213	8481	4170	10	2958680727	4424.031576	
von_koch-random-55-3	2	213	8481	4170	15	4295845466	7755.638869	
von_koch-random-55-3	2	213	8481	4170	20	4833612699	11022.833981	
von_koch-random-55-3	2	213	8481	4170	25	7431561883	17201.262211	
von_koch-random-55-3	2	213	8481	4170	30	8991896240	22439.571284	
von_koch-random-55-4	0	163	5982	2948	5	2953894815	10853.916524	
von_koch-random-55-4	0	163	5982	2948	10	3624777337	25424.045483	
von_koch-random-55-4	0	163	5982	2948	15	3919442106	39821.789292	
von_koch-random-55-4	0	163	5982	2948	20	4872935109	52555.553711	
von_koch-random-55-4	0	163	5982	2948	25	5910232686	64237.937696	
von_koch-random-55-4	0	163	5982	2948	30	6146095837	75783.702655	
von_koch-random-55-4	1	179	6789	3342	5	3378221277	10853.916524	
von_koch-random-55-4	1	179	6789	3342	10	3894775505	26386.579549	
von_koch-random-55-4	1	179	6789	3342	15	5297916944	44055.261224	
von_koch-random-55-4	1	179	6789	3342	20	5966650809	59799.586878	
von_koch-random-55-4	1	179	6789	3342	25	7341028485	78360.897187	
von_koch-random-55-4	1	179	6789	3342	30	7340069644	92920.613021	
von_koch-random-55-4	2	213	9115	4480	5	3356561233	10853.916524	
von_koch-random-55-4	2	213	9115	4480	10	4744847559	26386.579549	
von_koch-random-55-4	2	213	9115	4480	15	6584030094	44583.332097	
von_koch-random-55-4	2	213	9115	4480	20	5814890939	61582.828425	
von_koch-random-55-4	2	213	9115	4480	25	7393952668	77870.850619	
von_koch-random-55-4	2	213	9115	4480	30	8126378512	97445.851345	
von_koch-random-60-2	0	193	8426	4153	5	3516335506	1180.145614	
von_koch-random-60-2	0	193	8426	4153	10	3565037239	2548.034828	
von_koch-random-60-2	0	193	8426	4153	15	4035881249	3513.932925	
von_koch-random-60-2	0	193	8426	4153	20	4740475978	4518.234304	
von_koch-random-60-2	0	193	8426	4153	25	5767076768	6370.176968	
von_koch-random-60-2	0	193	8426	4153	30	7288275723	8324.287146	
von_koch-random-60-2	1	209	9717	4787	5	3266671201	1180.145614	
von_koch-random-60-2	1	209	9717	4787	10	4194561554	2548.034828	
von_koch-random-60-2	1	209	9717	4787	15	4555175608	3513.932925	
von_koch-random-60-2	1	209	9717	4787	20	5021297330	4711.568626	
von_koch-random-60-2	1	209	9717	4787	25	5966199140	6573.388493	
von_koch-random-60-2	1	209	9717	4787	30	7198853946	8574.738241	
von_koch-random-60-2	2	246	13518	6665	5	4639774707	1281.432627	
von_koch-random-60-2	2	246	13518	6665	10	5578660300	3391.237683	
von_koch-random-60-2	2	246	13518	6665	15	7449501179	5194.258816	
von_koch-random-60-2	2	246	13518	6665	20	7971119755	7140.837842	
von_koch-random-60-2	2	246	13518	6665	25	9093059230	9486.309458	
von_koch-random-60-2	2	246	13518	6665	30	11865374359	12318.881401	
von_koch-random-60-5	0	193	7031	3462	5	2333130449	84294.173176	
von_koch-random-60-5	0	193	7031	3462	10	2808395566	217305.872531	
von_koch-random-60-5	0	193	7031	3462	15	3486180279	344336.175402	
von_koch-random-60-5	0	193	7031	3462	20	3778210698	487699.047762	
von_koch-random-60-5	0	193	7031	3462	25	3699360494	599358.320725	
von_koch-random-60-5	0	193	7031	3462	30	6435547690	741795.982355	
von_koch-random-60-5	1	209	8390	4132	5	2272595345	92758.912448	
von_koch-random-60-5	1	209	8390	4132	10	3890693758	269986.661159	
von_koch-random-60-5	1	209	8390	4132	15	4814716004	471206.568240	
von_koch-random-60-5	1	209	8390	4132	20	6535091239	713835.991416	
von_koch-random-60-5	1	209	8390	4132	25	7581542987	891128.558159	
von_koch-random-60-5	1	209	8390	4132	30	8812984960	1122680.927111	
von_koch-random-60-5	2	246	11869	5850	5	3178938361	92902.261064	
von_koch-random-60-5	2	246	11869	5850	10	6506820558	314247.546104	
von_koch-random-60-5	2	246	11869	5850	15	5856806564	528329.665249	
von_koch-random-60-5	2	246	11869	5850	20	8485820874	776396.315407	
von_koch-random-60-5	2	246	11869	5850	25	10597210573	1058892.468765	
von_koch-random-60-5	2	246	11869	5850	30	12351815572	1308726.106660	
