#solverIteratedLocal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
random-2-opt-50-1337	0	135	3691	1828	5	64139650	9155.678548	
random-2-opt-50-1337	0	135	3691	1828	10	450717516	19720.467031	
random-2-opt-50-1337	0	135	3691	1828	15	2265215499	37116.228567	
random-2-opt-50-1337	0	135	3691	1828	20	5937900872	51630.903260	
random-2-opt-50-1337	0	135	3691	1828	25	8405422597	65103.215023	
random-2-opt-50-1337	0	135	3691	1828	30	11676830456	82961.983315	
random-2-opt-50-1337	1	148	4300	2126	5	84569145	9155.678548	
random-2-opt-50-1337	1	148	4300	2126	10	649444749	19322.497965	
random-2-opt-50-1337	1	148	4300	2126	15	3891502671	37084.174161	
random-2-opt-50-1337	1	148	4300	2126	20	6602130925	52941.282665	
random-2-opt-50-1337	1	148	4300	2126	25	10670859073	67965.750697	
random-2-opt-50-1337	1	148	4300	2126	30	18968806058	85420.563429	
random-2-opt-50-1337	2	172	6038	2983	5	84955759	9025.016759	
random-2-opt-50-1337	2	172	6038	2983	10	2394654927	24630.321789	
random-2-opt-50-1337	2	172	6038	2983	15	5897032583	43029.761393	
random-2-opt-50-1337	2	172	6038	2983	20	8570924161	60088.978703	
random-2-opt-50-1337	2	172	6038	2983	25	17320993849	76566.243396	
random-2-opt-50-1337	2	172	6038	2983	30	30874977703	97613.408205	
ic_die20-darkness-50-int-42	0	135	4845	2405	5	98833364	2944.105141	
ic_die20-darkness-50-int-42	0	135	4845	2405	10	1390326210	8499.427246	
ic_die20-darkness-50-int-42	0	135	4845	2405	15	3476591310	14387.094181	
ic_die20-darkness-50-int-42	0	135	4845	2405	20	3791735983	20139.074787	
ic_die20-darkness-50-int-42	0	135	4845	2405	25	12175454683	27910.692427	
ic_die20-darkness-50-int-42	0	135	4845	2405	30	13758960375	34759.144021	
ic_die20-darkness-50-int-42	1	148	5688	2820	5	165998361	3404.331502	
ic_die20-darkness-50-int-42	1	148	5688	2820	10	1360894207	8996.362176	
ic_die20-darkness-50-int-42	1	148	5688	2820	15	2720937340	15343.382798	
ic_die20-darkness-50-int-42	1	148	5688	2820	20	3811380419	21456.047258	
ic_die20-darkness-50-int-42	1	148	5688	2820	25	5993389933	27921.966150	
ic_die20-darkness-50-int-42	1	148	5688	2820	30	18802960079	36594.712031	
ic_die20-darkness-50-int-42	2	172	7400	3664	5	117571931	4134.555661	
ic_die20-darkness-50-int-42	2	172	7400	3664	10	851932240	10042.543470	
ic_die20-darkness-50-int-42	2	172	7400	3664	15	4924781674	16834.870624	
ic_die20-darkness-50-int-42	2	172	7400	3664	20	10330825864	23889.605797	
ic_die20-darkness-50-int-42	2	172	7400	3664	25	12119190444	30847.317089	
ic_die20-darkness-50-int-42	2	172	7400	3664	30	36391551195	41158.411781	
ic_die22-edges-50-int-42	0	135	3927	1946	5	98848803	2791.262460	
ic_die22-edges-50-int-42	0	135	3927	1946	10	693552909	6287.131366	
ic_die22-edges-50-int-42	0	135	3927	1946	15	1458152217	9189.255174	
ic_die22-edges-50-int-42	0	135	3927	1946	20	5771877163	15006.034724	
ic_die22-edges-50-int-42	0	135	3927	1946	25	12040024012	20420.018529	
ic_die22-edges-50-int-42	0	135	3927	1946	30	17382543648	25708.904087	
ic_die22-edges-50-int-42	1	148	4730	2341	5	168166036	3142.112659	
ic_die22-edges-50-int-42	1	148	4730	2341	10	532505356	6037.756461	
ic_die22-edges-50-int-42	1	148	4730	2341	15	4636412515	10880.046796	
ic_die22-edges-50-int-42	1	148	4730	2341	20	6789017989	15893.100423	
ic_die22-edges-50-int-42	1	148	4730	2341	25	9991913977	21279.466711	
ic_die22-edges-50-int-42	1	148	4730	2341	30	16858724306	26566.013235	
ic_die22-edges-50-int-42	2	172	6102	3015	5	58964126	2678.010986	
ic_die22-edges-50-int-42	2	172	6102	3015	10	814412757	6494.355931	
ic_die22-edges-50-int-42	2	172	6102	3015	15	4659701943	12938.390921	
ic_die22-edges-50-int-42	2	172	6102	3015	20	9824537263	18215.121664	
ic_die22-edges-50-int-42	2	172	6102	3015	25	14980682738	24091.925750	
ic_die22-edges-50-int-42	2	172	6102	3015	30	22231427914	30883.469296	
skyline_new_york-edges-50-float-42	0	135	4685	2325	5	55477980	12914.743327	
skyline_new_york-edges-50-float-42	0	135	4685	2325	10	649108799	34198.796327	
skyline_new_york-edges-50-float-42	0	135	4685	2325	15	2596050358	58237.153788	
skyline_new_york-edges-50-float-42	0	135	4685	2325	20	6275142947	78438.202395	
skyline_new_york-edges-50-float-42	0	135	4685	2325	25	13680555249	106775.957400	
skyline_new_york-edges-50-float-42	0	135	4685	2325	30	19717695867	127674.940415	
skyline_new_york-edges-50-float-42	1	148	5470	2711	5	82954374	13761.825455	
skyline_new_york-edges-50-float-42	1	148	5470	2711	10	933992994	31407.750692	
skyline_new_york-edges-50-float-42	1	148	5470	2711	15	3797790235	54026.030646	
skyline_new_york-edges-50-float-42	1	148	5470	2711	20	13855750212	86543.420266	
skyline_new_york-edges-50-float-42	1	148	5470	2711	25	23880203417	107098.552412	
skyline_new_york-edges-50-float-42	1	148	5470	2711	30	35638247699	138447.443800	
skyline_new_york-edges-50-float-42	2	172	7060	3494	5	92104279	15094.629591	
skyline_new_york-edges-50-float-42	2	172	7060	3494	10	900856524	32864.812534	
skyline_new_york-edges-50-float-42	2	172	7060	3494	15	6752579237	67567.030342	
skyline_new_york-edges-50-float-42	2	172	7060	3494	20	10588131951	89258.168453	
skyline_new_york-edges-50-float-42	2	172	7060	3494	25	27252186852	123896.077506	
skyline_new_york-edges-50-float-42	2	172	7060	3494	30	35669650412	152966.839379	
ic_die21-color-50-int-42	0	135	4055	2010	5	54750331	3170.392793	
ic_die21-color-50-int-42	0	135	4055	2010	10	539867570	7203.769232	
ic_die21-color-50-int-42	0	135	4055	2010	15	734787930	11738.636202	
ic_die21-color-50-int-42	0	135	4055	2010	20	3186455378	17166.195525	
ic_die21-color-50-int-42	0	135	4055	2010	25	7880449082	21924.960366	
ic_die21-color-50-int-42	0	135	4055	2010	30	13270866134	27049.575783	
ic_die21-color-50-int-42	1	148	4678	2315	5	60301202	3189.356718	
ic_die21-color-50-int-42	1	148	4678	2315	10	647239388	7250.242912	
ic_die21-color-50-int-42	1	148	4678	2315	15	3559169896	12772.139447	
ic_die21-color-50-int-42	1	148	4678	2315	20	8737341588	18152.272015	
ic_die21-color-50-int-42	1	148	4678	2315	25	10373878158	23154.516519	
ic_die21-color-50-int-42	1	148	4678	2315	30	15352811470	28151.910001	
ic_die21-color-50-int-42	2	172	6326	3127	5	58495156	3068.377609	
ic_die21-color-50-int-42	2	172	6326	3127	10	617363971	6952.149637	
ic_die21-color-50-int-42	2	172	6326	3127	15	6255396149	13500.040028	
ic_die21-color-50-int-42	2	172	6326	3127	20	6973041612	19329.499850	
ic_die21-color-50-int-42	2	172	6326	3127	25	11961355670	26421.513595	
ic_die21-color-50-int-42	2	172	6326	3127	30	26691075410	33060.211539	
skyline_sydney-edges-50-int-42	0	135	3967	1966	5	50125752	7214.922291	
skyline_sydney-edges-50-int-42	0	135	3967	1966	10	282349248	17919.253718	
skyline_sydney-edges-50-int-42	0	135	3967	1966	15	932940467	27928.451734	
skyline_sydney-edges-50-int-42	0	135	3967	1966	20	5892721648	43913.986272	
skyline_sydney-edges-50-int-42	0	135	3967	1966	25	7461599165	56043.836584	
skyline_sydney-edges-50-int-42	0	135	3967	1966	30	9499954199	67196.817653	
skyline_sydney-edges-50-int-42	1	148	4778	2365	5	42536089	7701.083913	
skyline_sydney-edges-50-int-42	1	148	4778	2365	10	504211130	19547.131770	
skyline_sydney-edges-50-int-42	1	148	4778	2365	15	2869156927	32354.751134	
skyline_sydney-edges-50-int-42	1	148	4778	2365	20	5590553186	44525.094969	
skyline_sydney-edges-50-int-42	1	148	4778	2365	25	15291640855	57884.356720	
skyline_sydney-edges-50-int-42	1	148	4778	2365	30	12904788951	70100.156214	
skyline_sydney-edges-50-int-42	2	172	6012	2970	5	85452221	9338.034507	
skyline_sydney-edges-50-int-42	2	172	6012	2970	10	1178304118	22773.896804	
skyline_sydney-edges-50-int-42	2	172	6012	2970	15	4160279617	35894.735104	
skyline_sydney-edges-50-int-42	2	172	6012	2970	20	5106053212	48502.882145	
skyline_sydney-edges-50-int-42	2	172	6012	2970	25	8255124819	65375.164079	
skyline_sydney-edges-50-int-42	2	172	6012	2970	30	14330795821	79540.244853	
ic_die25-edges-50-int-42	0	135	4087	2026	5	38930260	2453.737057	
ic_die25-edges-50-int-42	0	135	4087	2026	10	306109570	6015.839796	
ic_die25-edges-50-int-42	0	135	4087	2026	15	718594597	9657.301276	
ic_die25-edges-50-int-42	0	135	4087	2026	20	3838967113	14535.066577	
ic_die25-edges-50-int-42	0	135	4087	2026	25	5181692167	19099.227097	
ic_die25-edges-50-int-42	0	135	4087	2026	30	7694195976	23305.721078	
ic_die25-edges-50-int-42	1	148	4926	2439	5	52730690	2453.737057	
ic_die25-edges-50-int-42	1	148	4926	2439	10	530559886	5879.478111	
ic_die25-edges-50-int-42	1	148	4926	2439	15	3442782326	10894.329598	
ic_die25-edges-50-int-42	1	148	4926	2439	20	6787281705	15395.584567	
ic_die25-edges-50-int-42	1	148	4926	2439	25	11014501974	19981.538316	
ic_die25-edges-50-int-42	1	148	4926	2439	30	18096641368	24083.880498	
ic_die25-edges-50-int-42	2	172	6324	3126	5	67787023	2436.536811	
ic_die25-edges-50-int-42	2	172	6324	3126	10	1560627102	7033.578679	
