vertices,time,solverGreedy,solverEAIterated,solverEARandom
2645,0,18231.014382,26683.971468,26683.971468
3026,0,20218.051322,29003.545357,29138.578792
4170,0,17201.262211,33545.987601,33545.987601
2948,0,64237.937696,78278.332593,81015.727807
3342,0,78360.897187,83894.803415,86617.478047
4480,0,77870.850619,88745.137425,91137.119533
2950,0,62033.193849,75046.790733,75483.582754
3379,0,60221.467992,77877.771202,78220.31665
4489,0,59308.0137,83419.473308,83419.473308
2908,0,652776.838579,978708.290433,978708.290433
3453,0,787648.032263,1076665.788252,1080147.508365
4831,0,991218.283817,1209577.854987,1209577.854987
3209,0,8748.52208,9551.954163,9733.061288
3729,0,9433.101286,10325.553418,10351.832635
5093,0,10560.628748,11467.330748,11467.330748
