vertices,time,solverGreedy_concat,solverEAIterated_concat,solverEARandom_concat
2645,0,18231.014382,26683.971468,26683.971468
3026,0,20218.051322,29003.545357,29138.578792
4170,0,17201.262211,33545.987601,33545.987601
2948,0,64237.937696,78278.332593,81015.727807
3342,0,78360.897187,83894.803415,86617.478047
4480,0,77870.850619,88745.137425,91137.119533
2950,0,62033.193849,75046.790733,75483.582754
3379,0,60221.467992,77877.771202,78220.31665
4489,0,59308.0137,83419.473308,83419.473308
2908,0,652776.838579,978708.290433,978708.290433
3453,0,787648.032263,1076665.788252,1080147.508365
4831,0,991218.283817,1209577.854987,1209577.854987
3209,0,8748.52208,9551.954163,9733.061288
3729,0,9433.101286,10325.553418,10351.832635
5093,0,10560.628748,11467.330748,11467.330748
1828,0,46533.973554,66957.849651,66958.211141
2126,0,42146.899548,70033.097487,70033.097487
2983,0,58325.0906,78766.728707,78766.728707
2405,0,22670.929765,27910.692427,27910.692427
2820,0,26137.406737,29021.415466,29092.205378
3664,0,25587.713965,32331.895173,32331.895173
1946,0,13321.089201,20420.018529,20429.841367
2341,0,17350.653079,21314.378281,21314.378281
3015,0,16818.102724,24273.793366,24480.340872
2325,0,67982.371006,106003.850275,107939.559678
2711,0,69639.628552,109960.205075,111748.130139
3494,0,88583.34397,124025.054852,124953.386026
2010,0,18986.248405,21975.649942,21975.649942
2315,0,18366.144134,23447.215212,23447.215212
3127,0,19716.614265,26460.475773,26474.374962
1966,0,45530.684807,55912.3999,56043.836584
2365,0,48698.638463,57588.781035,57884.35672
2970,0,55750.711846,65375.164079,65375.164079
2026,0,17096.045858,19099.227097,19099.227097
2439,0,15529.919043,19981.538316,20219.265972
3126,0,16809.915874,22691.917438,22691.917438
2014,0,76359.840404,94059.562409,94596.151908
2381,0,66178.298177,95953.238762,98729.347641
3153,0,81792.976594,108377.959683,109963.750195
2025,0,18293.648934,22897.5583,22984.556652
2296,0,22385.344486,23381.242536,24328.225718
3165,0,25794.62956,28915.917349,29082.175327
2123,0,20299.103018,26244.728768,26260.093622
2453,0,19639.269646,27589.886108,27614.880454
3324,0,21864.813214,29692.95357,30512.680924
3681,0,47940.883036,75334.884918,75795.850147
4356,0,57639.600401,80120.433482,81199.735032
5978,0,79255.574088,88523.752112,89244.213797
2645,0,18231.014382,26683.971468,26683.971468
3026,0,20218.051322,28893.877396,29138.578792
4170,0,17201.262211,33545.987601,33545.987601
2948,0,64237.937696,79127.290346,81015.727807
3342,0,78360.897187,83894.803415,86617.478047
4480,0,77870.850619,88745.137425,91137.119533
4153,0,6370.176968,10217.428467,10217.428467
4787,0,6515.869338,10549.975086,10549.975086
6665,0,9486.309458,11542.581432,11784.692519
3462,0,599358.320725,979231.112078,980138.020675
4132,0,891128.558159,1032574.483996,1032574.483996
5850,0,1058892.468765,1147823.831465,1159035.903313
2950,0,62033.193849,75005.191254,75483.582754
3379,0,60221.467992,77877.771202,78220.31665
4489,0,59308.0137,83419.473308,83419.473308
3764,0,61990.628126,76493.621892,78932.423826
4418,0,61990.628126,79858.245513,80730.193063
5621,0,66587.340367,89269.306307,89410.046423
3129,0,20262.805407,27414.992195,27564.592697
3685,0,20358.74061,29506.484986,29506.484986
5190,0,21356.67101,32944.24999,33343.611404
2908,0,652776.838579,969252.448894,978708.290433
3453,0,787648.032263,1076665.788252,1080147.508365
4831,0,991218.283817,1209577.854987,1209577.854987
3209,0,8748.52208,9593.211719,9733.061288
3729,0,9433.101286,10325.553418,10351.832635
5093,0,10560.628748,11467.330748,11467.330748
