vertices,Greedy,EAIterated,EARandom
2645,0.428088562,921.568149049,670.054477928
3026,0.537231241,924.447077573,823.965404458
4170,0.723948229,941.349673777,655.447023207
2948,0.608692481,924.479333154,670.489412896
3342,0.737055279,925.237174642,873.687057591
4480,1.080435839,932.106709302,916.867528959
2950,0.585041625,926.526461784,835.617937643
3379,0.691283717,924.731207117,915.010849959
4489,1.032607424,936.414362475,966.464280513
2908,0.627785635,923.379165097,700.564385976
3453,0.845000212,926.132941971,950.793699039
4831,1.411263791,939.982699132,933.29051369
3209,0.845380263,931.635530903,920.410524137
3729,1.081240422,931.770602235,943.331643266
5093,1.70626901,912.741964936,944.701544723
1828,0.230366493,915.747187657,455.83863802
2126,0.265669108,918.04465626,620.053876595
2983,0.488516926,924.058982839,962.631985551
2405,0.502602637,919.596519341,620.69761909
2820,0.701730117,925.306863923,848.919912163
3664,0.927290589,929.987167593,934.030934068
1946,0.324158208,918.254431503,436.201275482
2341,0.438950046,921.310333439,751.875697487
3015,0.599925167,923.971023189,717.487494011
2325,0.36504362,919.904399492,482.681190141
2711,0.478628709,923.704625247,942.828836194
3494,0.793982872,930.788655921,801.086351559
2010,0.360902103,922.965136007,507.94626156
2315,0.415866515,918.41371609,725.133271896
3127,0.641724032,924.52634387,558.927316196
1966,0.330644678,918.675038968,386.665255256
2365,0.438985477,924.564961798,358.584818021
2970,0.745198096,924.913502194,831.862554451
2026,0.379202071,917.855025682,547.402203724
2439,0.452016791,918.910688062,785.43953829
3126,0.619455922,928.612161162,860.925617566
2014,0.364372093,918.252754809,316.670093488
2381,0.327927215,919.717506421,767.023383192
3153,0.597713106,927.26087391,688.715787701
2025,0.360128618,918.057457677,867.681202536
2296,0.488091148,919.705105579,567.136239594
3165,0.806175153,926.862136918,845.654372226
2123,0.368910903,918.951827996,446.323489679
2453,0.406461766,921.467114772,832.590495314
3324,0.662098773,925.716082681,906.863354503
3681,0.627537217,927.779953747,920.164245832
4356,0.936298937,930.601277446,931.399271966
5978,1.845048088,914.300359595,933.131081908
2645,0.432318052,921.6742486,690.116863294
3026,0.539385526,926.656771828,854.106512022
4170,0.732416506,941.867348475,677.599526625
2948,0.617779538,926.247026713,689.494100966
3342,0.740909983,925.418581545,897.381448883
4480,1.073476166,932.550552547,947.468477402
4153,0.869831934,941.765990858,965.674634035
4787,1.048986129,954.207594635,937.218129652
6665,2.312497282,941.822709773,918.646743982
3462,0.540051655,930.79889672,908.192221782
4132,1.002830263,950.530769567,926.71587219
5850,1.817573344,914.261893163,911.327574552
2950,0.590951088,923.750041275,860.865366091
3379,0.703650728,925.081485235,938.195642143
4489,1.034339182,936.722074762,993.554132203
3764,0.730213944,936.522585691,920.758774676
4418,0.907288034,954.306294415,911.742316015
5621,1.388101237,916.185334067,954.470065513
3129,0.594390726,930.477646881,870.986946992
3685,0.712778094,928.483280863,934.742575861
5190,1.112289227,928.353882452,945.308444629
2908,0.6300086,930.57752413,717.845538653
3453,0.83433354,926.652447184,925.350605073
4831,1.429900843,940.919784424,953.958076107
3209,0.865660325,928.242539993,903.576850006
3729,1.084549546,932.25571315,917.404022084
5093,1.708049885,913.20210676,964.984817366
