vertices,ProbShared,ProbShared2
987,10.52206307,10.52206307
1060,15.862862763,15.862862763
881,32.589283084,32.589283084
942,58.966263989,58.966263989
1010,33.887369088,33.887369088
1078,50.684864616,50.684864616
1434,186.8147172,186.8147172
1537,106.977706163,106.977706163
1728,900.05239876,900.05239876
1852,462.511104283,462.511104283
2143,555.06129389,555.06129389
2283,900.049877751,900.049877751
1670,900.046124621,900.046124621
1732,677.555544736,677.555544736
1160,87.255008616,87.255008616
1226,210.543414897,210.543414897
1436,93.840553084,93.840553084
1549,54.141194405,54.141194405
1716,268.040730553,268.040730553
1819,178.649614427,178.649614427
3107,900.072717486,900.072717486
3401,900.074578413,900.074578413
4513,900.096181988,900.096181988
2876,900.063673225,900.063673225
3297,900.074350248,900.074350248
4355,900.104622013,900.104622013
2698,900.073226522,900.073226522
2981,900.586358267,900.586358267
3957,900.094955516,900.094955516
2796,900.070122919,900.070122919
3173,900.070851571,900.070851571
4252,900.099932883,900.099932883
2406,900.05193034,900.05193034
2686,900.055430323,900.055430323
3627,900.081974239,900.081974239
4604,900.111151445,900.111151445
5329,900.133925024,900.133925024
7019,900.168184178,900.168184178
5316,900.120560934,900.120560934
6033,900.133192297,900.133192297
7850,900.177131493,900.177131493
3703,900.098454673,900.098454673
4271,900.090831145,900.090831145
5623,901.601438985,901.601438985
4375,900.08947884,900.08947884
5067,900.117247124,900.117247124
6537,900.138275638,900.138275638
3648,900.090519583,900.090519583
4193,900.088696469,900.088696469
5543,900.108147856,900.108147856
4139,900.100842273,900.100842273
4805,900.09851286,900.09851286
6076,900.134588422,900.134588422
3797,900.078156682,900.078156682
4427,900.091989026,900.091989026
5685,918.182749056,918.182749056
3699,900.081220494,900.081220494
4238,225.887623237,225.887623237
5608,270.829684866,270.829684866
3657,900.246549467,900.246549467
4288,900.086577366,900.086577366
5551,900.12519929,900.12519929
3844,900.08219643,900.08219643
4411,900.094920965,900.094920965
5676,900.122565995,900.122565995
3743,900.085563778,900.085563778
4283,900.094573114,900.094573114
5380,900.217495765,900.217495765
4010,900.094624609,900.094624609
4538,900.098338643,900.098338643
5640,900.102995602,900.102995602
1434,193.609709631,193.609709631
1728,900.059353673,900.059353673
2143,612.567412373,612.567412373
1670,900.065582122,900.065582122
1436,99.056281053,99.056281053
1716,297.555971931,297.555971931
1505,900.049081012,900.049081012
1661,69.156085622,69.156085622
2345,705.318096474,705.318096474
1743,220.568896151,220.568896151
