vertices,val,time,ProbShared,ProbShared2
987,67282.193913,67282.193913,67282.193913,67282.193913
1060,69814.203103,69814.203103,69814.203103,69814.203103
881,72598.326579,72598.326579,72598.326579,72598.326579
942,76177.9422,76177.9422,76177.9422,76177.9422
1010,8033.981227,8034.435637,8033.981227,8033.981227
1078,8253.512863,8253.512863,8253.512863,8253.512863
1434,63422.268667,63422.268667,63422.268667,63422.268667
1537,65864.213106,65864.213106,65864.213106,65864.213106
1728,289792.801186,303316.180659,289792.801186,289792.801186
1852,308771.808853,308799.973985,308771.808853,308771.808853
2143,75708.783388,75714.213482,75708.783388,75708.783388
2283,78770.941104,78775.837632,78770.941104,78770.941104
1670,9001.117147,9001.890236,9001.117147,9001.117147
1732,9265.187325,9266.082732,9265.187325,9265.187325
1160,71566.520451,71566.520451,71566.520451,71566.520451
1226,71566.520451,71566.520451,71566.520451,71566.520451
1436,765.487909,765.487909,765.487909,765.487909
1549,804.408148,804.408148,804.408148,804.408148
1716,69596.85333,69603.510341,69596.85333,69596.85333
1819,73265.121605,73272.379865,73265.121605,73265.121605
3107,282612.130427,292636.890466,282612.130427,282612.130427
3401,297011.140314,297040.77791,297011.140314,297011.140314
4513,321054.981049,321062.775145,321054.981049,321054.981049
2876,285680.096874,344376.815255,285680.096874,285680.096874
3297,321310.81073,360625.974692,321310.81073,321310.81073
4355,355597.552723,392927.081511,355597.552723,355597.552723
2698,10177.347437,10178.263428,10177.347437,10177.347437
2981,10586.081909,10587.130936,10586.081909,10586.081909
3957,11297.247359,11297.276652,11297.247359,11297.247359
2796,26922.394475,27920.14548,26922.394475,26922.394475
3173,28650.424754,28650.424754,28650.424754,28650.424754
4252,28280.754431,32301.35963,28280.754431,28280.754431
2406,75577.993624,75580.284506,75577.993624,75577.993624
2686,79196.275047,79201.229121,79196.275047,79196.275047
3627,83480.79434,86497.706911,83480.79434,83480.79434
4604,1126.311417,1159.812321,1126.311417,1126.311417
5329,1177.322238,1231.835858,1177.322238,1177.322238
7019,1375.566563,1416.434961,1375.566563,1375.566563
5316,1193.736662,1277.273629,1193.736662,1193.736662
6033,1191.747607,1339.779622,1191.747607,1191.747607
7850,1356.612152,1497.161386,1356.612152,1356.612152
3703,78780.197596,78780.197596,78780.197596,78780.197596
4271,81236.094979,81243.569557,81236.094979,81236.094979
5623,92785.106337,92786.649755,92785.106337,92785.106337
4375,29569.412794,33079.782077,29569.412794,29569.412794
5067,33252.811937,34119.022888,33252.811937,33252.811937
6537,37131.431392,37131.431392,37131.431392,37131.431392
3648,23509.02356,24363.598741,23509.02356,23509.02356
4193,24837.635538,25671.408655,24837.635538,24837.635538
5543,26707.691116,26709.731134,26707.691116,26707.691116
4139,121192.611169,126735.270063,121192.611169,121192.611169
4805,127842.623745,132588.015684,127842.623745,127842.623745
6076,138803.150436,141426.361903,138803.150436,138803.150436
3797,25130.43917,27477.796184,25130.43917,25130.43917
4427,27532.864992,28310.044397,27532.864992,27532.864992
5685,29937.223658,29939.331999,29937.223658,29937.223658
3699,64768.653989,64771.081348,64768.653989,64768.653989
4238,68810.699962,68810.699962,68810.699962,68810.699962
5608,75145.550651,75148.191466,75145.550651,75145.550651
3657,21703.488134,22972.287453,21703.488134,21703.488134
4288,23704.579693,23923.701365,23704.579693,23704.579693
5551,25475.922377,25475.922377,25475.922377,25475.922377
3844,108283.402451,108283.402451,108283.402451,108283.402451
4411,115200.067494,115206.829537,115200.067494,115200.067494
5676,123517.751687,123517.751687,123517.751687,123517.751687
3743,29244.471603,29247.166352,29244.471603,29244.471603
4283,29803.320503,31086.03299,29803.320503,29803.320503
5380,33041.035641,33041.035641,33041.035641,33041.035641
4010,28611.487546,32026.257351,28611.487546,28611.487546
4538,29422.644386,32957.591746,29422.644386,29422.644386
5640,33880.490758,33883.667518,33880.490758,33880.490758
1434,63422.268667,63422.268667,63422.268667,63422.268667
1728,288673.258422,303648.934642,288673.258422,288673.258422
2143,75708.783388,75714.213482,75708.783388,75708.783388
1670,9001.117147,9001.890236,9001.117147,9001.117147
1436,765.487909,765.487909,765.487909,765.487909
1716,69596.85333,69603.510341,69596.85333,69596.85333
1505,5949.675108,5950.181006,5949.675108,5949.675108
1661,18151.223386,18152.534834,18151.223386,18151.223386
2345,74247.83254,74254.525955,74247.83254,74247.83254
1743,757.680281,757.719332,757.680281,757.680281
