vertices,ProbShared,ProbShared2
987,2.103842768,2.103842768
1060,1.986228622,1.986228622
881,5.575665212,5.575665212
942,4.639023366,4.639023366
1010,12.773018788,12.773018788
1078,12.378247796,12.378247796
1434,19.566406275,19.566406275
1537,15.290591263,15.290591263
1728,900.064878156,900.064878156
1852,305.00703734,305.00703734
2143,73.803075568,73.803075568
2283,61.247909455,61.247909455
1670,269.222624081,269.222624081
1732,270.534992287,270.534992287
1160,2.044031744,2.044031744
1226,3.843685614,3.843685614
1436,59.522433221,59.522433221
1549,31.971211313,31.971211313
1716,163.873672479,163.873672479
1819,214.307680613,214.307680613
3107,900.226588263,900.226588263
3401,205.824554395,205.824554395
4513,721.533990228,721.533990228
2698,303.305762432,303.305762432
2981,251.403096226,251.403096226
3957,880.074456516,880.074456516
2796,900.063932988,900.063932988
3173,477.98811858,477.98811858
2406,742.558058058,742.558058058
2686,394.790560944,394.790560944
3627,900.083554841,900.083554841
4604,900.084848461,900.084848461
5329,900.121010966,900.121010966
7019,900.155765613,900.155765613
3703,654.251257678,654.251257678
4271,308.748632889,308.748632889
5623,342.564129989,342.564129989
5067,900.105881405,900.105881405
6537,508.994037699,508.994037699
3648,900.082832193,900.082832193
4193,900.108018596,900.108018596
5543,520.192111146,520.192111146
4139,900.103911992,900.103911992
4805,900.106916531,900.106916531
6076,900.132835623,900.132835623
4427,900.083568135,900.083568135
5685,375.86514056,375.86514056
3699,303.586194373,303.586194373
4238,124.864689102,124.864689102
5608,93.788727665,93.788727665
4288,900.089172833,900.089172833
5551,192.972931313,192.972931313
3844,890.670427448,890.670427448
4411,892.249011451,892.249011451
5676,346.840311454,346.840311454
3743,703.795484646,703.795484646
4283,900.212094995,900.212094995
5380,193.257794769,193.257794769
5640,858.875530252,858.875530252
1434,20.40667847,20.40667847
2143,90.192115955,90.192115955
1670,288.683917435,288.683917435
1436,65.870099331,65.870099331
1716,177.284431031,177.284431031
1505,452.97085215,452.97085215
1661,46.693825511,46.693825511
2345,101.566317855,101.566317855
1743,80.911755973,80.911755973
